cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
1867644,"cpu",0,1,1049.253765,1049.164967,0.070563,0,0
1867948,"cpu",0,2,1049.366566,1048.97468,0.373021,0,0
1868122,"cpu",0,3,1061.735353,1061.66555,0.043624,0,0
1868426,"cpu",0,4,1034.863809,1034.804788,0.040616,0,0
1868600,"cpu",0,5,1047.170439,1047.10687,0.034274,0,0
1868904,"cpu",0,6,1051.79767,1051.732345,0.04172,0,0
1869078,"cpu",0,7,1055.010178,1054.967958,0.03161,0,0
1869382,"cpu",0,8,1063.771099,1063.678064,0.07451,0,0
1869686,"cpu",0,9,1070.037371,1069.641735,0.344629,0,0
1869860,"cpu",0,10,1046.606033,1046.543476,0.0428,0,0
1870164,"cpu",0,11,1055.029731,1054.966895,0.035675,0,0
1870338,"cpu",0,12,1055.291961,1055.22705,0.045254,0,0
1870642,"cpu",0,13,1064.167719,1064.110379,0.040609,0,0
1870816,"cpu",0,14,1040.557955,1040.484768,0.05332,0,0
1871120,"cpu",0,15,1035.703492,1035.652607,0.031499,0,0
1871294,"cpu",0,16,1042.953902,1042.899281,0.029203,0,0
1871598,"cpu",0,17,1052.85031,1052.799634,0.034154,0,0
1871902,"cpu",0,18,1039.032128,1038.972615,0.039265,0,0
1872076,"cpu",0,19,1042.138385,1042.052454,0.055163,0,0
1872380,"cpu",0,20,1043.606441,1043.522944,0.05846,0,0
1872554,"cpu",0,21,1056.60373,1056.543757,0.032361,0,0
1872858,"cpu",0,22,1016.575285,1016.513899,0.034856,0,0
1873119,"cpu",0,23,1044.192582,1044.126588,0.034735,0,0
1873336,"cpu",0,24,1040.287248,1040.217857,0.041879,0,0
1873640,"cpu",0,25,1065.582213,1065.515639,0.039844,0,0
1873814,"cpu",0,26,1057.75123,1057.655568,0.095662,0,0
1874205,"cpu",0,27,1067.276584,1067.236447,0.040137,0,0
1874379,"cpu",0,28,1022.074964,1022.044867,0.030097,0,0
1874683,"cpu",0,29,1062.69626,1062.646104,0.050156,0,0
1874857,"cpu",0,30,1056.646618,1056.613265,0.033353,0,0
1875161,"cpu",0,31,1027.912504,1027.878942,0.033562,0,0
1875335,"cpu",0,32,1051.207177,1051.179945,0.027232,0,0
1875639,"cpu",0,33,1035.425939,1035.391977,0.033962,0,0
1875943,"cpu",0,34,1048.428006,1048.39198,0.036026,0,0
1876117,"cpu",0,35,1052.429986,1052.114825,0.315161,0,0
1876421,"cpu",0,36,1051.358374,1051.334851,0.023523,0,0
1876595,"cpu",0,37,1041.266327,1041.233867,0.03246,0,0
1876899,"cpu",0,38,1046.426866,1046.177237,0.249629,0,0
1877073,"cpu",0,39,1045.434122,1045.399898,0.034224,0,0
1877377,"cpu",0,40,1056.641352,1056.60978,0.031572,0,0
1877681,"cpu",0,41,1041.028622,1040.994139,0.034483,0,0
1877855,"cpu",0,42,1079.546755,1079.44792,0.038351,0,0
1878159,"cpu",0,43,1074.949242,1074.905237,0.044005,0,0
1878333,"cpu",0,44,1050.190381,1050.151877,0.038504,0,0
1878724,"cpu",0,45,1043.189647,1043.147308,0.042339,0,0
1878898,"cpu",0,46,1044.83272,1044.793337,0.039383,0,0
1879202,"cpu",0,47,1070.4022,1070.351167,0.051033,0,0
1879376,"cpu",0,48,1042.754957,1042.666131,0.088826,0,0
1879680,"cpu",0,49,1055.517813,1055.473908,0.043905,0,0
1879984,"cpu",0,50,1042.364648,1042.329057,0.035591,0,0
1880419,"cpu",3,1,3448.746923,1094.94324,2353.803683,0,0
1880984,"cpu",3,2,3416.778558,1089.893592,2326.884966,0,0
