cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
1790405,"cpu",0,1,831.792848,831.75021,0.042638,0,0
1790579,"cpu",0,2,809.226449,809.187875,0.038574,0,0
1790883,"cpu",0,3,866.243939,866.204475,0.039464,0,0
1791057,"cpu",0,4,852.940652,852.907801,0.032851,0,0
1791361,"cpu",0,5,813.363683,813.082295,0.281388,0,0
1791535,"cpu",0,6,809.828827,809.788914,0.039913,0,0
1791839,"cpu",0,7,818.703493,818.672385,0.031108,0,0
1792013,"cpu",0,8,835.104039,835.071019,0.03302,0,0
1792317,"cpu",0,9,843.737431,843.682858,0.054573,0,0
1792621,"cpu",0,10,1053.712615,1053.684412,0.028203,0,0
1792795,"cpu",0,11,862.761019,862.610227,0.150792,0,0
1793099,"cpu",0,12,822.337409,822.30126,0.036149,0,0
1793273,"cpu",0,13,822.232343,822.19829,0.034053,0,0
1793577,"cpu",0,14,855.950232,855.916869,0.033363,0,0
1793751,"cpu",0,15,1031.001157,1030.960058,0.041099,0,0
1794055,"cpu",0,16,861.175967,861.140241,0.035726,0,0
1794229,"cpu",0,17,828.831331,828.800651,0.03068,0,0
1794533,"cpu",0,18,844.299942,844.265267,0.034675,0,0
1794924,"cpu",0,19,871.678131,871.655047,0.023084,0,0
1795098,"cpu",0,20,855.649279,855.582843,0.066436,0,0
1795402,"cpu",0,21,823.682549,823.64712,0.035429,0,0
1795576,"cpu",0,22,837.330272,837.289925,0.040347,0,0
1795880,"cpu",0,23,810.488304,810.464578,0.023726,0,0
1796054,"cpu",0,24,844.991023,844.96321,0.027813,0,0
1796358,"cpu",0,25,817.676666,817.596676,0.07999,0,0
1796532,"cpu",0,26,834.337187,834.308183,0.029004,0,0
1796836,"cpu",0,27,1050.860235,1050.829618,0.030617,0,0
1797140,"cpu",0,28,881.077071,881.031475,0.045596,0,0
1797314,"cpu",0,29,823.647248,823.597358,0.04989,0,0
1797618,"cpu",0,30,829.185878,829.147664,0.038214,0,0
1797792,"cpu",0,31,810.025119,809.934106,0.091013,0,0
1798183,"cpu",0,32,830.64138,830.608287,0.033093,0,0
1798357,"cpu",0,33,1029.793101,1029.738667,0.054434,0,0
1798661,"cpu",0,34,1012.982559,1012.922375,0.060184,0,0
1798835,"cpu",0,35,1070.05832,1070.02649,0.03183,0,0
1799139,"cpu",0,36,832.378834,832.343608,0.035226,0,0
1799443,"cpu",0,37,828.792829,828.754075,0.038754,0,0
1799617,"cpu",0,38,1060.24173,1060.2101,0.03163,0,0
1799921,"cpu",0,39,1042.870427,1042.824278,0.046149,0,0
1800095,"cpu",0,40,821.905019,821.867947,0.037072,0,0
1800399,"cpu",0,41,1030.705318,1030.667377,0.037941,0,0
1800573,"cpu",0,42,825.066804,825.030986,0.035818,0,0
1800877,"cpu",0,43,805.319331,805.284595,0.034736,0,0
1801051,"cpu",0,44,1027.333049,1027.304814,0.028235,0,0
1801355,"cpu",0,45,832.24502,832.213724,0.031296,0,0
