cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
1751374,"cpu",0,1,1009.738873,1009.660976,0.045376,0,0
1751548,"cpu",0,2,626.491613,626.427941,0.034357,0,0
1751852,"cpu",0,3,600.078628,600.019868,0.042078,0,0
1752026,"cpu",0,4,608.392486,608.333916,0.025268,0,0
1752330,"cpu",0,5,859.911191,859.832975,0.03808,0,0
1752504,"cpu",0,6,604.114581,604.053388,0.046396,0,0
1752808,"cpu",0,7,595.702764,595.616736,0.041795,0,0
1752982,"cpu",0,8,607.130078,607.023597,0.056789,0,0
1753286,"cpu",0,9,617.174932,617.089983,0.029716,0,0
1753938,"cpu",0,10,625.212817,624.715615,0.497202,0,0
1754414,"cpu",0,11,609.337252,609.268792,0.042622,0,0
1754718,"cpu",0,12,621.03922,620.982942,0.035309,0,0
1754892,"cpu",0,13,593.788327,593.697499,0.039583,0,0
1755196,"cpu",0,14,602.551692,602.479318,0.047056,0,0
1755370,"cpu",0,15,595.258999,595.125541,0.077193,0,0
1755674,"cpu",0,16,604.810571,604.763983,0.031379,0,0
1755848,"cpu",0,17,631.537964,631.474932,0.039417,0,0
1756152,"cpu",0,18,609.986231,609.901843,0.054121,0,0
1756326,"cpu",0,19,602.673465,602.532891,0.094747,0,0
1756630,"cpu",0,20,612.707281,612.660676,0.046605,0,0
1756804,"cpu",0,21,816.807104,816.635896,0.142835,0,0
1757108,"cpu",0,22,613.706548,613.580813,0.081081,0,0
1757412,"cpu",0,23,823.226103,823.126653,0.073371,0,0
1757586,"cpu",0,24,595.478893,595.304416,0.174477,0,0
1757890,"cpu",0,25,606.828626,606.779453,0.049173,0,0
1758064,"cpu",0,26,613.571,613.490679,0.029546,0,0
1758368,"cpu",0,27,606.306918,606.218693,0.049752,0,0
1758542,"cpu",0,28,612.866881,612.806826,0.036751,0,0
1758846,"cpu",0,29,612.707821,612.43057,0.277251,0,0
1759020,"cpu",0,30,595.962946,595.926798,0.036148,0,0
1759324,"cpu",0,31,611.448703,611.387419,0.045856,0,0
1759498,"cpu",0,32,606.751371,606.685355,0.043994,0,0
1759802,"cpu",0,33,604.427834,604.391605,0.036229,0,0
1760106,"cpu",0,34,615.986078,615.901009,0.085069,0,0
1760280,"cpu",0,35,612.758744,612.662937,0.051384,0,0
1760584,"cpu",0,36,609.067799,609.010021,0.039724,0,0
1760758,"cpu",0,37,604.377506,604.338571,0.038935,0,0
1761062,"cpu",0,38,600.651834,600.595177,0.056657,0,0
1761236,"cpu",0,39,594.862065,594.781335,0.053429,0,0
1761627,"cpu",0,40,601.506811,601.442752,0.042629,0,0
1761801,"cpu",0,41,588.050656,587.970898,0.058057,0,0
1762105,"cpu",0,42,612.415805,612.386079,0.029726,0,0
1762279,"cpu",0,43,609.941869,609.91534,0.026529,0,0
1762583,"cpu",0,44,598.654213,598.377304,0.255719,0,0
1762887,"cpu",0,45,593.582398,593.549443,0.032955,0,0
1763061,"cpu",0,46,629.388409,629.345208,0.043201,0,0
1763365,"cpu",0,47,602.989066,602.948981,0.040085,0,0
1763539,"cpu",0,48,622.873282,622.810196,0.038901,0,0
1763843,"cpu",0,49,587.071179,587.02926,0.041919,0,0
1764017,"cpu",0,50,611.141816,611.105317,0.036499,0,0
1764582,"cpu",3,1,1635.274141,638.421447,996.852694,0,0
1765017,"cpu",3,2,1661.697441,659.72842,1001.969021,0,0
1765669,"cpu",3,3,1579.765171,628.090843,951.674328,0,0
1766234,"cpu",3,4,1671.764849,633.379748,1038.364582,0,0
1766669,"cpu",3,5,1755.726063,629.136031,1126.562811,0,0
1767234,"cpu",3,6,1590.77343,618.504482,972.268948,0,0
1767799,"cpu",3,7,1667.714009,625.390045,1042.323964,0,0
1768234,"cpu",3,8,1685.768649,620.926433,1064.813773,0,0
1768799,"cpu",3,9,1630.790744,613.28014,1017.510604,0,0
1769364,"cpu",3,10,1627.729552,657.87612,969.835468,0,0
1769799,"cpu",3,11,1656.762946,616.393348,1040.355181,0,0
1770364,"cpu",3,12,1707.773448,644.282497,1063.490951,0,0
1770799,"cpu",3,13,1692.726202,670.955196,1021.771006,0,0
1771364,"cpu",3,14,1693.710995,658.173736,1035.537259,0,0
1771929,"cpu",3,15,1651.709169,651.916886,999.792283,0,0
1772364,"cpu",3,16,1681.755876,608.715138,1073.040738,0,0
1772929,"cpu",3,17,1768.767077,666.499626,1102.267451,0,0
1773494,"cpu",3,18,1597.730221,605.340025,992.390196,0,0
1773929,"cpu",3,19,1634.714376,622.332672,1012.381704,0,0
1774494,"cpu",3,20,1678.758863,636.45028,1042.308583,0,0
1774929,"cpu",3,21,1701.734747,616.116068,1085.618679,0,0
1775494,"cpu",3,22,1703.757994,633.565275,1070.192719,0,0
1776059,"cpu",3,23,1677.700544,616.342232,1061.358312,0,0
1776494,"cpu",3,24,1667.694833,622.050437,1045.644396,0,0
1777059,"cpu",3,25,1610.777504,600.446096,1010.331408,0,0
1777624,"cpu",3,26,1998.862009,949.332187,1049.529822,0,0
1778059,"cpu",3,27,1730.785153,657.549354,1073.235799,0,0
1778624,"cpu",3,28,1630.749725,623.327874,1007.421851,0,0
1779189,"cpu",3,29,1606.767456,630.141202,976.626254,0,0
1779624,"cpu",3,30,1657.759783,621.334899,1036.424884,0,0
1780189,"cpu",3,31,1677.743612,675.556183,1002.187429,0,0
1780624,"cpu",3,32,1739.746743,677.648414,1062.098329,0,0
1781189,"cpu",3,33,1720.780775,647.500143,1073.280632,0,0
1781754,"cpu",3,34,1701.753751,683.8304,1017.923351,0,0
1782189,"cpu",3,35,1976.20386,852.062074,1124.141786,0,0
1782754,"cpu",3,36,1708.758234,650.953071,1057.805163,0,0
1783319,"cpu",3,37,1584.779864,603.468665,981.311199,0,0
1783754,"cpu",3,38,1831.791761,821.603483,1010.188278,0,0
1784319,"cpu",3,39,1593.785971,602.971294,990.814677,0,0
1784754,"cpu",3,40,1645.802101,611.472303,1034.329798,0,0
1785406,"cpu",3,41,1645.775136,629.993002,1015.782134,0,0
1785971,"cpu",3,42,1750.054646,728.338979,1021.715667,0,0
1786406,"cpu",3,43,1715.756458,639.324118,1076.43234,0,0
1786971,"cpu",3,44,1600.77623,621.871669,978.904561,0,0
1787536,"cpu",3,45,1639.794041,612.040398,1027.753643,0,0
1787971,"cpu",3,46,1646.808671,602.800266,1044.008405,0,0
1788536,"cpu",3,47,1641.767833,626.210989,1015.556844,0,0
1788971,"cpu",3,48,1664.810443,618.553903,1046.25654,0,0
1789536,"cpu",3,49,1643.784043,620.254541,1023.529502,0,0
1790101,"cpu",3,50,1654.522928,617.292008,1037.23092,0,0
