cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
1829046,"cpu",0,1,695.984804,695.957723,0.027081,0,0
1829350,"cpu",0,2,737.85645,737.820252,0.036198,0,0
1829524,"cpu",0,3,681.381875,681.33733,0.044545,0,0
1829828,"cpu",0,4,912.315158,912.281634,0.033524,0,0
1830002,"cpu",0,5,689.035608,688.990914,0.044694,0,0
1830306,"cpu",0,6,782.462858,782.424527,0.038331,0,0
1830567,"cpu",0,7,690.498881,690.460087,0.038794,0,0
1830871,"cpu",0,8,957.902716,957.828285,0.074431,0,0
1831045,"cpu",0,9,693.458444,693.418318,0.040126,0,0
1831349,"cpu",0,10,690.748777,690.709881,0.038896,0,0
1831523,"cpu",0,11,905.341938,905.309707,0.032231,0,0
1831827,"cpu",0,12,928.774161,928.737613,0.036548,0,0
1832131,"cpu",0,13,700.981721,700.881374,0.100347,0,0
1832305,"cpu",0,14,692.658914,692.624812,0.034102,0,0
1832609,"cpu",0,15,947.411979,947.374149,0.03783,0,0
1832783,"cpu",0,16,699.508712,699.468258,0.040454,0,0
1833087,"cpu",0,17,859.945839,859.90427,0.041569,0,0
1833261,"cpu",0,18,714.094809,714.0632,0.031609,0,0
1833565,"cpu",0,19,709.187118,709.159919,0.027199,0,0
1833739,"cpu",0,20,695.883292,695.853958,0.029334,0,0
1834043,"cpu",0,21,925.463691,925.418215,0.045476,0,0
1834217,"cpu",0,22,697.209441,697.170806,0.038635,0,0
1834521,"cpu",0,23,701.189477,701.157667,0.03181,0,0
1834825,"cpu",0,24,918.324607,918.284561,0.040046,0,0
1834999,"cpu",0,25,689.748324,689.716125,0.032199,0,0
1835303,"cpu",0,26,919.307074,919.275987,0.031087,0,0
1835477,"cpu",0,27,700.948565,700.71208,0.236485,0,0
1835781,"cpu",0,28,716.409184,716.370884,0.0383,0,0
1835955,"cpu",0,29,721.133681,721.088827,0.044854,0,0
1836259,"cpu",0,30,692.887845,692.859904,0.027941,0,0
1836433,"cpu",0,31,715.9673,715.935059,0.032241,0,0
1836737,"cpu",0,32,715.820793,715.77752,0.043273,0,0
1837041,"cpu",0,33,806.09968,806.069345,0.030335,0,0
1837215,"cpu",0,34,682.89242,682.871541,0.020879,0,0
1837519,"cpu",0,35,918.508025,918.473909,0.034116,0,0
1837693,"cpu",0,36,724.701093,721.938516,2.762577,0,0
1837997,"cpu",0,37,700.723976,700.688308,0.035668,0,0
