cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
1957983,"network",0,1,8300.948006,8286.548301,0.239993,14.067629,0
1958200,"network",0,2,8386.127619,8379.670259,0.200648,6.163056,0.00566
1958417,"network",0,3,8363.481569,8362.827636,0.26471,0.294994,0.01016
1958504,"network",0,4,8615.485203,8615.242358,0.173464,0,0
1958721,"network",0,5,8268.292692,8253.729861,0.189605,14.307474,0
1958938,"network",0,6,8261.938302,8256.970803,0.264103,4.629987,0
1959155,"network",0,7,8319.245814,8315.448815,0.265618,3.467894,0
1959372,"network",0,8,8902.773524,8902.339685,0.184922,0.186801,0.003326
1959589,"network",0,9,8875.405475,8868.093429,0.226569,6.988758,0.010228
1959806,"network",0,10,8344.021667,8343.74205,0.18543,0,0.007103
1960023,"network",0,11,8647.480316,8639.116294,0.180268,8.106128,0.01067
1960240,"network",0,12,8279.296739,8279.042891,0.191221,0,0
1960414,"network",0,13,8647.834078,8647.279758,0.400763,0.067827,0
1960631,"network",0,14,8240.330691,8228.696837,0.198127,11.366266,0
1960848,"network",0,15,8431.399068,8426.090585,0.196187,5.041022,0
1961065,"network",0,16,8603.402415,8585.027013,0.175909,18.157075,0.007083
1961282,"network",0,17,8427.068466,8426.670789,0.321082,0,0.007785
1961499,"network",0,18,8352.382912,8352.027317,0.239094,0,0.008095
1961716,"network",0,19,8555.641428,8555.347788,0.218828,0,0.006803
1961933,"network",0,20,8326.164738,8325.917505,0.155831,0,0.006322
1962150,"network",0,21,8360.115628,8359.49212,0.179184,0.378812,0.01057
1962237,"network",0,22,8872.635925,8857.545865,0.224408,14.801903,0.00543
1962454,"network",0,23,8251.18197,8249.267584,0.187812,1.666882,0
1962671,"network",0,24,8399.516223,8383.696001,0.42839,15.327751,0
1962888,"network",0,25,8414.821678,8405.477442,0.229087,9.035679,0
1963105,"network",0,26,8384.627588,8384.313446,0.230243,0,0.006072
1963322,"network",0,27,8383.111683,8382.812081,0.219803,0,0.001764
1963539,"network",0,28,8338.269686,8337.996946,0.207779,0,0.002665
1963756,"network",0,29,8230.710856,8209.342412,0.167614,21.135627,0
1963843,"network",0,30,8408.14551,8392.707859,0.859907,14.510508,0.004869
1964060,"network",0,31,8254.490986,8237.136794,0.204475,17.04499,0
1964277,"network",0,32,8376.81109,8360.082631,0.224517,16.432017,0
1964494,"network",0,33,8355.044251,8344.080636,0.202503,10.706339,0.009938
1964711,"network",0,34,8370.093661,8356.822508,0.186261,13.011522,0.004528
1964928,"network",0,35,9030.168453,9027.452836,0.257257,2.401733,0.00013
1965145,"network",0,36,8581.386355,8563.322166,0.250304,17.572384,0.009208
1965362,"network",0,37,8332.012991,8314.094609,0.17083,17.679626,0.012715
1965449,"network",0,38,8294.396706,8290.02553,0.280286,4.014114,0.003376
1965666,"network",0,39,8382.332648,8382.018589,0.224471,0,0.008216
1965970,"network",0,40,8365.285093,8360.188196,0.224198,4.796554,0
1966187,"network",0,41,8546.998865,8518.372117,0.179278,28.390435,0
1966404,"network",0,42,8407.88278,8407.620187,0.183272,0,0.011643
1966621,"network",0,43,8525.588995,8520.711324,0.175086,4.63541,0
1966838,"network",0,44,8358.986,8357.972456,0.179633,0.734153,0.006512
1967055,"network",0,45,8573.964759,8573.701916,0.180478,0,0
1967272,"network",0,46,8488.504375,8482.523625,0.204162,5.723527,0
1967359,"network",0,47,8400.290268,8392.60548,0.186273,7.417455,0.00567
1967576,"network",0,48,8622.350967,8621.545192,0.213271,0.517184,0.005299
1967793,"network",0,49,8857.788415,8857.470844,0.225606,0,0
1968010,"network",0,50,8397.22197,8389.218902,0.198146,7.746503,0.006291
1968332,"network",4,1,36632.510124,10025.821511,0.257965,26575.211333,0
1969174,"network",4,2,36549.745823,11736.617109,0.299846,24773.130265,0
1970016,"network",4,3,36742.260953,8392.795503,0.275246,28323.558034,0
1970945,"network",4,4,36613.468265,7705.474217,0.249592,28884.022861,0
1971787,"network",4,5,36898.44963,8019.076654,0.228357,28855.770695,0
1972629,"network",4,6,36587.517182,8033.170223,0.29632,28527.784438,0
1973471,"network",4,7,36483.888769,11583.507351,0.242995,24861.306859,0
1974313,"network",4,8,36872.046194,10312.509599,0.257638,26525.456793,0
1975242,"network",4,9,36580.183212,8434.724123,0.230096,28118.977323,0
1976171,"network",4,10,37029.00608,10274.289324,0.29387,26725.032666,0
1977013,"network",4,11,36557.657961,10621.15286,0.258008,25903.423216,0
1977855,"network",4,12,36519.39034,11709.542905,0.261671,24769.282668,0
1978784,"network",4,13,36510.744923,11471.084069,0.216723,25004.539321,0
1979713,"network",4,14,36540.44702,8439.965214,0.191266,28072.519003,0
1980555,"network",4,15,36463.282401,7914.100975,0.267119,28525.649566,0
1981397,"network",4,16,36553.464575,11369.375496,0.24829,25146.038784,0
1982239,"network",4,17,36070.148593,10799.921805,0.259846,25238.353803,0
1982951,"network",4,18,36548.216906,11109.82033,0.245714,25401.41899,0
1983880,"network",4,19,36648.487617,7816.852142,0.341123,28806.419031,0
1984722,"network",4,20,36674.183049,11538.781942,0.248327,25096.991041,0
1985564,"network",4,21,36541.765283,8001.016275,0.254772,28516.682283,0
1986406,"network",4,22,37209.155382,8944.628191,0.300734,28239.564787,0
1987335,"network",4,23,36718.946719,11868.419281,0.245317,24808.651062,0
1988177,"network",4,24,36664.869893,11239.563376,0.198491,25390.082826,0
1989019,"network",4,25,36679.475306,8935.888636,0.29371,27716.337512,0
1989861,"network",4,26,36608.531615,9234.805217,0.256019,27342.580708,0
1990703,"network",4,27,36577.779201,11316.290491,0.244039,25225.89253,0
1991632,"network",4,28,36526.099789,11578.546709,0.270419,24911.480796,0
1992561,"network",4,29,38069.625552,9534.767733,0.27796,28509.013319,0
1993403,"network",4,30,36605.445865,11330.908913,0.238391,25239.616207,0
1994245,"network",4,31,36437.063673,10549.252788,0.319695,25855.257767,0
1995087,"network",4,32,36577.620784,11634.196403,0.27644,24904.817545,0
1996016,"network",4,33,36576.610702,12207.403425,0.284993,24326.547832,0
1996858,"network",4,34,36509.344489,11564.368593,0.246537,24904.350896,0
1997700,"network",4,35,36429.630468,9826.990336,0.259801,26572.712232,0
1998542,"network",4,36,37485.529547,10283.951406,0.279792,27172.625517,0
1999384,"network",4,37,37077.44118,8387.572842,0.315996,28663.076238,0
2000313,"network",4,38,36784.701675,12462.997579,0.185335,24280.310201,0
