cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
2307142,"network",0,1,15223.001656,15221.814549,0.334947,0.054071,0
2307489,"network",0,2,14938.153946,14932.82139,0.311347,4.372915,0.013305
2307706,"network",0,3,12039.664982,12016.810916,0.175286,21.977661,0
2307923,"network",0,4,13068.016724,13067.146517,0.285018,0,0.007504
2308140,"network",0,5,16673.281365,16670.711826,0.512386,1.263374,0.01091
2308357,"network",0,6,11519.427131,11518.58085,0.313028,0,0
2308574,"network",0,7,15784.691853,15768.463905,0.216585,15.422682,0.021259
2308791,"network",0,8,14426.275341,14407.299556,0.352297,18.113363,0.008145
2309008,"network",0,9,18024.296805,18005.275971,0.309799,18.110246,0
2309355,"network",0,10,11981.86236,11981.175863,0.207472,0,0.014497
2309572,"network",0,11,12166.98483,12164.0681,0.277165,2.207606,0
2309789,"network",0,12,13831.14266,13789.42914,0.323905,40.964766,0.012704
2310093,"network",0,13,14412.097602,14399.494788,0.263809,11.796236,0.011242
2310310,"network",0,14,14629.359554,14593.501892,0.235218,35.123463,0
2310614,"network",0,15,14629.140656,14623.340529,0.321362,4.897711,0.014527
2310831,"network",0,16,15413.003275,15406.525459,0.336542,5.58393,0.009498
2311048,"network",0,17,13951.725311,13927.487304,0.210363,23.599172,0.006623
2311395,"network",0,18,18162.239416,18143.480694,0.306067,17.983365,0.014738
2311612,"network",0,19,17157.649826,17135.027486,0.360447,21.858848,0.012633
2311829,"network",0,20,16718.294563,16714.732199,0.30282,2.790394,0.01084
2312046,"network",0,21,14069.196269,14068.630397,0.214671,0,0.009748
2312263,"network",0,22,13797.266214,13781.540739,0.305877,15.050657,0.009839
2312480,"network",0,23,13321.677012,13309.480121,0.22523,11.595506,0
2312827,"network",0,24,12414.521719,12399.422581,0.198118,14.600175,0.001773
2313044,"network",0,25,15221.954149,15221.40148,0.307196,0,0.008827
2313261,"network",0,26,12907.418969,12875.815217,0.241532,31.14909,0.006803
2313478,"network",0,27,12289.151176,12255.036937,0.268214,33.664885,0.012583
2313695,"network",0,28,14638.708728,14638.078212,0.303998,0,0.012434
2313912,"network",0,29,13090.962627,13072.050572,0.187945,18.558438,0.011071
2314129,"network",0,30,15333.426616,15317.805877,0.304867,15.031337,0.012143
2314346,"network",0,31,11817.615243,11817.119532,0.194969,0,0
2314563,"network",0,32,15246.33729,15228.100273,0.297286,17.722304,0.015498
2314780,"network",0,33,12297.029877,12287.502448,0.333186,8.984919,0.006782
2314997,"network",0,34,14772.61471,14698.4832,0.449859,67.626967,0
2315344,"network",0,35,12793.095225,12751.695906,0.265346,39.335231,0.013585
2315648,"network",0,36,11846.389934,11799.434516,0.200754,46.312907,0.002996
2315865,"network",0,37,11603.409541,11602.781219,0.238109,0,0.010218
2316082,"network",0,38,17299.470141,17294.266462,0.302791,4.282081,0.022072
2316299,"network",0,39,14943.145012,14927.605549,0.334674,14.706588,0.024606
2316516,"network",0,40,11683.977045,11683.283513,0.255919,0,0
2316820,"network",0,41,12747.779184,12747.035326,0.33454,0,0.00515
2317037,"network",0,42,13615.456313,13614.865151,0.251609,0,0.011932
2317254,"network",0,43,16969.788776,16938.792682,0.236801,30.408655,0.009869
2317471,"network",0,44,14994.60039,14981.021924,0.313973,12.85703,0
2317818,"network",0,45,14882.79136,14847.418097,0.298089,34.505776,0
2318035,"network",0,46,15452.378665,15451.356387,0.318892,0,0.013947
2318252,"network",0,47,14649.496997,14648.541892,0.25275,0,0.017893
2318469,"network",0,48,17559.694921,17536.690714,0.313284,22.046584,0.009288
2318686,"network",0,49,14290.491721,14269.935263,0.338766,19.727139,0.01066
2318903,"network",0,50,10441.46997,10428.86074,0.328384,11.88669,0
2319355,"network",4,1,47000.649252,23973.06075,0.529284,22954.834834,0.006843
2320327,"network",4,2,44154.86461,22129.754619,0.404243,21958.492243,0
2321256,"network",4,3,46626.436648,22155.501324,0.496947,24402.796199,0.011631
2322358,"network",4,4,43042.92333,21052.177831,0.504412,21926.986192,0.00505
2323200,"network",4,5,42084.816735,16165.800296,0.412634,25869.206805,0
2324172,"network",4,6,42395.651447,17113.604653,0.307167,25228.718133,0
2325231,"network",4,7,42420.174611,17639.358296,0.333927,24727.084509,0
2326073,"network",4,8,43707.413228,19157.620914,0.474715,24489.486996,0
2327045,"network",4,9,43475.488212,19064.624909,0.427521,24355.041154,0
2328017,"network",4,10,45222.394476,20252.816193,0.275658,24905.055004,0
2329163,"network",4,11,41544.987537,18387.373907,0.341021,23104.141359,0.01024
2330005,"network",4,12,42013.591294,17386.933568,0.33197,24573.946246,0
2330977,"network",4,13,46449.011484,24548.329973,0.465184,21827.265995,0
2331949,"network",4,14,44530.963535,19230.508136,0.613064,25243.036575,0
2333008,"network",4,15,46460.535233,21614.495944,0.386549,24781.335552,0
2333980,"network",4,16,43076.157668,16753.094415,0.374666,26271.236827,0
2334952,"network",4,17,42604.47378,18817.753595,0.418464,23729.960808,0
2335794,"network",4,18,44444.722461,19303.006914,0.373301,25082.790897,0
2336940,"network",4,19,42159.298991,17019.233715,0.419099,25087.852223,0.014217
2337912,"network",4,20,41447.395296,15426.60918,0.321462,25973.705404,0
2338884,"network",4,21,41417.297419,16144.247393,0.39591,25223.300338,0
2339726,"network",4,22,36551.888955,11706.86636,0.336565,24808.232985,0
2340655,"network",4,23,36466.368023,11511.473774,0.27861,24919.237782,0
2341497,"network",4,24,36939.372983,8113.065519,0.446363,28801.812448,0
2342426,"network",4,25,36675.281753,11673.795569,0.282578,24962.284045,0
2343268,"network",4,26,36917.884103,8518.485478,0.190951,28375.614896,0
2344110,"network",4,27,36457.994261,11597.220331,0.332186,24820.105491,0
