cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
165843,"cpu",0,1,1484.937274,1484.562265,0.205399,0,0
166017,"cpu",0,2,1514.902694,1514.726366,0.068738,0,0
166191,"cpu",0,3,1441.629082,1441.453172,0.086111,0,0
166365,"cpu",0,4,1530.672709,1530.557922,0.031478,0,0
166626,"cpu",0,5,1439.999822,1439.893646,0.041316,0,0
166800,"cpu",0,6,1432.606187,1432.468348,0.057507,0,0
166974,"cpu",0,7,1463.425128,1463.257758,0.075689,0,0
167148,"cpu",0,8,1440.206444,1439.959286,0.121631,0,0
167322,"cpu",0,9,1436.608332,1436.434263,0.076144,0,0
167496,"cpu",0,10,1431.322456,1431.03297,0.289486,0,0
167670,"cpu",0,11,1438.917267,1438.862507,0.05476,0,0
167844,"cpu",0,12,1649.508855,1649.471086,0.037769,0,0
168018,"cpu",0,13,1447.105371,1446.943625,0.161746,0,0
168192,"cpu",0,14,1475.511096,1475.281424,0.229672,0,0
168366,"cpu",0,15,1549.540525,1549.070231,0.470294,0,0
168540,"cpu",0,16,1421.197658,1420.883859,0.228451,0,0
168714,"cpu",0,17,1538.607166,1538.48483,0.031977,0,0
168975,"cpu",0,18,1440.713132,1440.558056,0.079411,0,0
169149,"cpu",0,19,1451.65946,1451.235405,0.25093,0,0
169323,"cpu",0,20,1437.997148,1437.945601,0.051547,0,0
169497,"cpu",0,21,1430.043339,1429.956544,0.086795,0,0
169671,"cpu",0,22,1435.728838,1435.422051,0.306787,0,0
169845,"cpu",0,23,1521.286958,1521.248494,0.038464,0,0
170019,"cpu",0,24,1441.180249,1441.141504,0.038745,0,0
170193,"cpu",0,25,1464.368988,1464.22991,0.139078,0,0
170367,"cpu",0,26,1433.034164,1432.980853,0.053311,0,0
170541,"cpu",0,27,1424.023716,1423.970347,0.053369,0,0
170715,"cpu",0,28,1438.760147,1438.706734,0.053413,0,0
170889,"cpu",0,29,1450.074143,1450.0244,0.049743,0,0
171063,"cpu",0,30,1418.804236,1418.740208,0.045043,0,0
171237,"cpu",0,31,1479.091589,1479.042436,0.049153,0,0
171411,"cpu",0,32,1460.581654,1460.528874,0.032451,0,0
171585,"cpu",0,33,1444.696205,1444.47906,0.217145,0,0
171759,"cpu",0,34,1433.580915,1433.529852,0.044281,0,0
171933,"cpu",0,35,1432.931594,1432.893653,0.037941,0,0
172194,"cpu",0,36,1452.149092,1451.80699,0.342102,0,0
172368,"cpu",0,37,1460.120067,1460.017292,0.102775,0,0
172542,"cpu",0,38,1465.824872,1465.767362,0.05751,0,0
172716,"cpu",0,39,1596.773152,1596.732636,0.040516,0,0
172890,"cpu",0,40,1460.849369,1460.759604,0.089765,0,0
173064,"cpu",0,41,1463.97143,1463.929871,0.041559,0,0
173238,"cpu",0,42,1466.194171,1466.139721,0.05445,0,0
173412,"cpu",0,43,1463.412725,1462.968109,0.444616,0,0
173586,"cpu",0,44,1438.095243,1438.050248,0.044995,0,0
173760,"cpu",0,45,1448.781035,1448.73519,0.045845,0,0
173934,"cpu",0,46,1505.032546,1504.981943,0.050603,0,0
174108,"cpu",0,47,1456.246177,1455.933289,0.312888,0,0
174282,"cpu",0,48,1473.985259,1473.793468,0.191791,0,0
174456,"cpu",0,49,1494.528534,1494.471086,0.057448,0,0
174630,"cpu",0,50,1447.41877,1447.130187,0.288583,0,0
174891,"cpu",1,1,2154.692009,1477.933874,676.758135,0,0
175152,"cpu",1,2,2670.509528,1500.507102,1170.002426,0,0
175413,"cpu",1,3,2039.747089,1437.225523,602.521566,0,0
175674,"cpu",1,4,2573.902913,1465.23571,1108.667203,0,0
175935,"cpu",1,5,2090.899807,1488.030741,602.869066,0,0
176196,"cpu",1,6,2077.050304,1465.309629,611.622275,0,0
176544,"cpu",1,7,1881.917808,1442.035742,439.781775,0,0
176805,"cpu",1,8,2585.697853,1464.288265,1121.334709,0,0
177066,"cpu",1,9,2643.424865,1472.020918,1171.288422,0,0
177327,"cpu",1,10,2615.896095,1496.647459,1119.172393,0,0
177588,"cpu",1,11,2681.993331,1519.685479,1162.250191,0,0
177849,"cpu",1,12,2710.79947,1544.488874,1166.221457,0,0
178110,"cpu",1,13,2628.744698,1470.597443,1158.055541,0,0
178371,"cpu",1,14,2098.103506,1437.575158,660.433288,0,0
178632,"cpu",1,15,2063.77316,1436.904989,626.868171,0,0
178893,"cpu",1,16,2828.338135,1562.38088,1265.957255,0,0
179154,"cpu",1,17,2628.821984,1476.98352,1151.838464,0,0
179415,"cpu",1,18,2562.352144,1436.316121,1126.036023,0,0
179676,"cpu",1,19,2610.677405,1458.951381,1151.726024,0,0
179937,"cpu",1,20,2553.655366,1431.94538,1121.709986,0,0
180198,"cpu",1,21,2744.71249,1529.628273,1215.084217,0,0
180459,"cpu",1,22,2596.228942,1469.361819,1126.846264,0,0
180720,"cpu",1,23,2602.586219,1467.150556,1135.435663,0,0
180981,"cpu",1,24,2724.448126,1546.413516,1178.03461,0,0
181242,"cpu",1,25,2649.86423,1488.178014,1161.686216,0,0
181503,"cpu",1,26,2125.458401,1460.824349,664.634052,0,0
181764,"cpu",1,27,2573.88451,1432.454172,1141.430338,0,0
182025,"cpu",1,28,2622.968319,1455.335215,1167.633104,0,0
182286,"cpu",1,29,2579.258007,1459.424299,1119.833708,0,0
182547,"cpu",1,30,2568.478044,1453.853213,1114.624831,0,0
182808,"cpu",1,31,2059.759124,1444.382265,615.376859,0,0
183069,"cpu",1,32,2597.111014,1464.784899,1132.326115,0,0
183330,"cpu",1,33,2632.74287,1472.403252,1160.339618,0,0
183591,"cpu",1,34,2802.144202,1556.936783,1245.207419,0,0
183852,"cpu",1,35,2219.772128,1546.477952,673.294176,0,0
184113,"cpu",1,36,2556.239404,1439.490033,1116.749371,0,0
184374,"cpu",1,37,2549.552337,1426.07798,1123.474357,0,0
184635,"cpu",1,38,2200.407949,1544.946128,655.461821,0,0
184896,"cpu",1,39,2606.734471,1470.039542,1136.694929,0,0
185157,"cpu",1,40,2060.215408,1432.455909,627.759499,0,0
185418,"cpu",1,41,2558.809616,1444.607655,1114.201961,0,0
185679,"cpu",1,42,2627.685198,1492.868246,1134.816952,0,0
186027,"cpu",1,43,2555.386207,1443.783573,1111.602634,0,0
186288,"cpu",1,44,2603.852558,1471.515822,1132.336736,0,0
186549,"cpu",1,45,2610.767649,1457.736414,1153.031235,0,0
186810,"cpu",1,46,2525.900997,1408.766899,1117.134098,0,0
187071,"cpu",1,47,2714.656535,1533.764617,1180.891918,0,0
187332,"cpu",1,48,2539.718077,1425.853825,1113.864252,0,0
187593,"cpu",1,49,2156.52801,1455.819482,700.708528,0,0
187854,"cpu",1,50,2141.955555,1459.414096,682.448515,0,0
