cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
202118,"cpu",0,1,1101.741836,322.0217,779.720136,0,0
202422,"cpu",0,2,1102.053109,325.374749,776.67836,0,0
202596,"cpu",0,3,1096.747514,316.848685,779.88886,0,0
202900,"cpu",0,4,1106.571483,322.604599,783.935525,0,0
203074,"cpu",0,5,1083.395689,306.798072,776.597617,0,0
203378,"cpu",0,6,1078.549688,306.568204,771.97387,0,0
203682,"cpu",0,7,1100.942677,332.052887,768.870023,0,0
203856,"cpu",0,8,1116.063896,340.284739,775.779157,0,0
204160,"cpu",0,9,1115.222664,337.178834,777.992133,0,0
204334,"cpu",0,10,1078.815224,300.10545,778.679868,0,0
204899,"cpu",3,1,3562.835045,339.603672,3223.19253,0,0
205464,"cpu",3,2,3514.909769,329.307235,3185.597184,0,0
205899,"cpu",3,3,3517.749345,351.167358,3166.553454,0,0
206464,"cpu",3,4,3653.806871,340.747792,3313.059079,0,0
207029,"cpu",3,5,3567.818614,365.107885,3202.710729,0,0
207594,"cpu",3,6,3642.783501,386.988207,3255.790996,0,0
208029,"cpu",3,7,3697.029405,335.270663,3361.758742,0,0
208594,"cpu",3,8,3558.83106,348.202541,3210.597822,0,0
209159,"cpu",3,9,3551.788067,315.480448,3236.307619,0,0
209724,"cpu",3,10,3531.79679,340.833108,3190.956438,0,0
