cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio,victim
23703,cpu,0,1,638.005623,637.807648,0.063903,0.0,0.0,float
24007,cpu,0,2,638.007495,637.880985,0.023976,0.0,0.0,float
24311,cpu,0,3,658.717073,658.578964,0.039022,0.0,0.0,float
24485,cpu,0,4,637.115987,637.008798,0.038582,0.0,0.0,float
24789,cpu,0,5,629.392183,629.140407,0.073551,0.0,0.0,float
24963,cpu,0,6,614.222836,614.110165,0.034514,0.0,0.0,float
25267,cpu,0,7,630.958308,630.786743,0.075173,0.0,0.0,float
25571,cpu,0,8,633.379554,633.289223,0.035717,0.0,0.0,float
25745,cpu,0,9,635.022532,634.877346,0.039194,0.0,0.0,float
26049,cpu,0,10,626.412339,626.275755,0.049881,0.0,0.0,float
26484,cpu,3,1,1769.797831,693.119806,1076.588655,0.0,0.0,float
27049,cpu,3,2,1720.779833,638.509462,1082.173537,0.0,0.0,float
27614,cpu,3,3,1724.435733,643.363639,1081.018682,0.0,0.0,float
28179,cpu,3,4,1649.712982,655.836672,993.811678,0.0,0.0,float
28614,cpu,3,5,1701.915882,698.192903,1003.559171,0.0,0.0,float
29179,cpu,3,6,1750.835215,629.238249,1121.510293,0.0,0.0,float
29744,cpu,3,7,1820.750109,790.535021,1030.017143,0.0,0.0,float
30179,cpu,3,8,1666.968588,631.903819,1034.9337,0.0,0.0,float
30744,cpu,3,9,1731.795236,680.91686,1050.698536,0.0,0.0,float
31309,cpu,3,10,1814.921792,767.301588,1047.486904,0.0,0.0,float
31613,cpu,0,1,1048.353914,1047.271592,0.872625,0.0,0.0,factors
31787,cpu,0,2,871.938322,871.685064,0.030707,0.0,0.0,factors
32091,cpu,0,3,845.652748,845.416203,0.130996,0.0,0.0,factors
32395,cpu,0,4,852.342092,852.143427,0.044626,0.0,0.0,factors
32569,cpu,0,5,847.031526,846.896259,0.032212,0.0,0.0,factors
32873,cpu,0,6,884.96924,884.80446,0.054852,0.0,0.0,factors
33047,cpu,0,7,846.401378,846.306086,0.03601,0.0,0.0,factors
33351,cpu,0,8,842.348079,842.234165,0.038052,0.0,0.0,factors
33525,cpu,0,9,827.128381,827.034615,0.036489,0.0,0.0,factors
