cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
177612,"block_io",0,1,2324.639266,889.07543,1.108901,0,1435.04479
178090,"block_io",1,1,4209.294697,1261.797065,1.275857,0,2946.972352
178394,"block_io",0,2,2221.10575,929.324395,0.67802,0,1291.37135
178655,"block_io",1,2,5156.517646,1764.387285,1.215046,0,3391.500345
178959,"block_io",0,3,2403.371082,1084.219719,1.412159,0,1318.707136
179350,"block_io",1,3,4615.564259,1790.780342,0.811811,0,2824.270182
179654,"block_io",0,4,2613.47303,1123.758076,1.103445,0,1489.207972
179915,"block_io",1,4,4645.442679,1585.926129,0.863518,0,3058.963705
180219,"block_io",0,5,2205.942049,901.651327,1.029067,0,1303.895774
180610,"block_io",1,5,4250.619166,1695.685153,1.298639,0,2554.336386
180784,"block_io",0,6,2281.115364,951.161952,1.065811,0,1329.438782
181175,"block_io",1,6,4612.20669,1606.164148,0.781744,0,3005.506447
181479,"block_io",0,7,2267.917664,941.061074,1.538342,0,1326.377998
181870,"block_io",1,7,4090.176818,1328.892043,1.328531,0,2760.374789
182044,"block_io",0,8,2226.588511,977.086753,1.347021,0,1248.995899
182435,"block_io",1,8,4627.918495,1811.769923,0.994534,0,2815.61998
182739,"block_io",0,9,2251.283144,972.84622,1.183586,0,1277.976884
183000,"block_io",1,9,4475.663872,1766.973031,1.088719,0,2708.19714
183304,"block_io",0,10,2214.710538,886.279197,1.019762,0,1328.01125
183695,"block_io",1,10,4117.495421,1698.768214,1.440844,0,2418.164424
