cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
186471,"cpu",0,1,911.852145,911.708164,0.043663,0,0
186775,"cpu",0,2,900.079598,899.906411,0.033063,0,0
186949,"cpu",0,3,912.02236,911.885362,0.033523,0,0
187253,"cpu",0,4,884.97286,884.87601,0.033161,0,0
187557,"cpu",0,5,896.599699,896.518083,0.032142,0,0
187731,"cpu",0,6,925.075054,924.985164,0.025839,0,0
188035,"cpu",0,7,910.802036,910.701186,0.052591,0,0
188209,"cpu",0,8,887.851955,887.782813,0.036831,0,0
188513,"cpu",0,9,915.806821,915.737232,0.032179,0,0
188687,"cpu",0,10,899.900454,899.771002,0.031057,0,0
189252,"cpu",3,1,2736.788131,903.706817,1833.017895,0,0
189817,"cpu",3,2,2833.779449,962.933697,1870.800789,0,0
190252,"cpu",3,3,2876.801489,932.620564,1944.139377,0,0
190817,"cpu",3,4,2783.786222,922.1122,1861.616815,0,0
191382,"cpu",3,5,2765.807523,926.449563,1839.345907,0,0
191947,"cpu",3,6,2834.247151,929.061239,1905.164141,0,0
192382,"cpu",3,7,2801.828544,918.00373,1883.800317,0,0
192947,"cpu",3,8,2825.803784,940.279854,1885.50282,0,0
193512,"cpu",3,9,2759.767072,919.693745,1840.041027,0,0
193947,"cpu",3,10,2740.765612,948.235882,1792.461822,0,0
