cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
186471,"cpu",0,1,911.852145,396.917087,514.882018,0,0
186775,"cpu",0,2,900.079598,383.368463,516.619755,0,0
186949,"cpu",0,3,912.02236,403.143112,508.853569,0,0
187253,"cpu",0,4,884.97286,378.40601,506.506838,0,0
187557,"cpu",0,5,896.599699,382.14339,514.421824,0,0
187731,"cpu",0,6,925.075054,386.817361,538.224009,0,0
188035,"cpu",0,7,910.802036,402.657127,508.120103,0,0
188209,"cpu",0,8,887.851955,373.476297,514.346423,0,0
188513,"cpu",0,9,915.806821,406.619525,509.176526,0,0
188687,"cpu",0,10,899.900454,386.61093,513.214744,0,0
189252,"cpu",3,1,2736.788131,400.253571,2336.501759,0,0
189817,"cpu",3,2,2833.779449,459.753999,2373.991487,0,0
190252,"cpu",3,3,2876.801489,407.099465,2469.672769,0,0
190817,"cpu",3,4,2783.786222,409.957653,2373.79676,0,0
191382,"cpu",3,5,2765.807523,418.05574,2347.751783,0,0
191947,"cpu",3,6,2834.247151,406.072266,2428.170718,0,0
192382,"cpu",3,7,2801.828544,404.918934,2396.886376,0,0
192947,"cpu",3,8,2825.803784,423.70289,2402.087659,0,0
193512,"cpu",3,9,2759.767072,404.691937,2355.055789,0,0
193947,"cpu",3,10,2740.765612,433.861671,2306.848617,0,0
