cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
169832,"cpu",0,1,994.482352,994.03388,0.300845,0,0
170006,"cpu",0,2,1010.328622,1010.175462,0.04186,0,0
170310,"cpu",0,3,997.339944,997.150407,0.0422,0,0
170614,"cpu",0,4,992.090685,991.903133,0.035376,0,0
170788,"cpu",0,5,1024.089503,1023.990657,0.036549,0,0
171092,"cpu",0,6,1017.495136,1017.386833,0.040897,0,0
171266,"cpu",0,7,998.029762,997.92862,0.047551,0,0
171570,"cpu",0,8,1011.583863,1011.479007,0.040836,0,0
171874,"cpu",0,9,1010.471643,1010.362268,0.041819,0,0
172048,"cpu",0,10,1013.327662,1013.228876,0.03726,0,0
172613,"cpu",3,1,3226.792276,1034.907853,2191.854968,0,0
173048,"cpu",3,2,3213.734579,1018.939419,2194.752529,0,0
173613,"cpu",3,3,3263.791705,1034.268958,2229.522747,0,0
174178,"cpu",3,4,3181.805543,1011.781647,2169.996365,0,0
174743,"cpu",3,5,3177.801005,1037.687299,2140.071487,0,0
175178,"cpu",3,6,3220.827916,1015.474703,2205.329337,0,0
175743,"cpu",3,7,3433.780304,1257.737895,2176.019858,0,0
176308,"cpu",3,8,3187.60026,1022.368274,2165.22362,0,0
176743,"cpu",3,9,3227.79207,1006.415894,2221.345017,0,0
177308,"cpu",3,10,3417.839332,1101.814899,2316.005998,0,0
