cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
169832,"cpu",0,1,994.482352,370.402663,624.008035,0,0
170006,"cpu",0,2,1010.328622,384.557012,625.737916,0,0
170310,"cpu",0,3,997.339944,385.207558,612.07017,0,0
170614,"cpu",0,4,992.090685,381.030598,611.01334,0,0
170788,"cpu",0,5,1024.089503,398.869157,625.181082,0,0
171092,"cpu",0,6,1017.495136,393.165374,624.320485,0,0
171266,"cpu",0,7,998.029762,385.238671,612.7375,0,0
171570,"cpu",0,8,1011.583863,396.171878,615.381849,0,0
171874,"cpu",0,9,1010.471643,396.520888,613.908417,0,0
172048,"cpu",0,10,1013.327662,395.178653,618.120856,0,0
172613,"cpu",3,1,3226.792276,413.043019,2813.737224,0,0
173048,"cpu",3,2,3213.734579,404.05833,2809.650861,0,0
173613,"cpu",3,3,3263.791705,422.718587,2841.073118,0,0
174178,"cpu",3,4,3181.805543,398.155142,2783.62287,0,0
174743,"cpu",3,5,3177.801005,424.167334,2753.612872,0,0
175178,"cpu",3,6,3220.827916,409.704397,2811.123519,0,0
175743,"cpu",3,7,3433.780304,627.057646,2806.713371,0,0
176308,"cpu",3,8,3187.60026,412.173819,2775.426441,0,0
176743,"cpu",3,9,3227.79207,382.237979,2845.529494,0,0
177308,"cpu",3,10,3417.839332,463.672667,2954.166665,0,0
