cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio,victim
23703,cpu,0,1,638.005623,633.929891,3.94166,0.0,0.0,float
24007,cpu,0,2,638.007495,633.797976,4.106985,0.0,0.0,float
24311,cpu,0,3,658.717073,654.722614,3.906574,0.0,0.0,float
24485,cpu,0,4,637.115987,632.598132,4.449248,0.0,0.0,float
24789,cpu,0,5,629.392183,625.108343,4.105615,0.0,0.0,float
24963,cpu,0,6,614.222836,610.389612,3.755067,0.0,0.0,float
25267,cpu,0,7,630.958308,626.898206,3.96371,0.0,0.0,float
25571,cpu,0,8,633.379554,628.838365,4.486575,0.0,0.0,float
25745,cpu,0,9,635.022532,630.761456,4.155084,0.0,0.0,float
26049,cpu,0,10,626.412339,622.605224,3.720412,0.0,0.0,float
26484,cpu,3,1,1769.797831,692.177999,1077.532336,0.0,0.0,float
27049,cpu,3,2,1720.779833,635.402599,1085.28045,0.0,0.0,float
27614,cpu,3,3,1724.435733,641.102465,1083.280066,0.0,0.0,float
28179,cpu,3,4,1649.712982,654.761757,994.886644,0.0,0.0,float
28614,cpu,3,5,1701.915882,697.206999,1004.549764,0.0,0.0,float
29179,cpu,3,6,1750.835215,626.98499,1123.763552,0.0,0.0,float
29744,cpu,3,7,1820.750109,789.536689,1031.015565,0.0,0.0,float
30179,cpu,3,8,1666.968588,629.83031,1037.008301,0.0,0.0,float
30744,cpu,3,9,1731.795236,679.722039,1051.893357,0.0,0.0,float
31309,cpu,3,10,1814.921792,764.368033,1050.420599,0.0,0.0,float
31613,cpu,0,1,1048.353914,1043.634575,4.509642,0.0,0.0,factors
31787,cpu,0,2,871.938322,867.824238,3.891533,0.0,0.0,factors
32091,cpu,0,3,845.652748,841.164434,4.382765,0.0,0.0,factors
32395,cpu,0,4,852.342092,848.165205,4.022848,0.0,0.0,factors
32569,cpu,0,5,847.031526,842.417805,4.510666,0.0,0.0,factors
32873,cpu,0,6,884.96924,880.774981,4.084331,0.0,0.0,factors
33047,cpu,0,7,846.401378,841.85176,4.490336,0.0,0.0,factors
33351,cpu,0,8,842.348079,837.998322,4.273895,0.0,0.0,factors
33525,cpu,0,9,827.128381,822.775435,4.295669,0.0,0.0,factors
33829,cpu,0,10,830.060299,825.701739,4.278089,0.0,0.0,factors
34394,cpu,3,1,2541.804594,826.994158,1714.749842,0.0,0.0,factors
34829,cpu,3,2,2641.663555,883.005843,1758.631843,0.0,0.0,factors
35394,cpu,3,3,2694.802449,887.193393,1807.550386,0.0,0.0,factors
35959,cpu,3,4,2727.791582,911.258703,1816.410278,0.0,0.0,factors
36394,cpu,3,5,2569.795232,871.164939,1698.52172,0.0,0.0,factors
36959,cpu,3,6,2590.811493,928.752972,1661.99443,0.0,0.0,factors
37524,cpu,3,7,2706.780236,939.492987,1767.246543,0.0,0.0,factors
37959,cpu,3,8,2564.816742,899.535857,1665.18327,0.0,0.0,factors
38524,cpu,3,9,2568.803119,866.012904,1702.716586,0.0,0.0,factors
39089,cpu,3,10,2627.773118,913.266569,1714.385401,0.0,0.0,factors
39393,cpu,0,1,1000.638878,996.11357,4.423518,0.0,0.0,sequential
39567,cpu,0,2,737.445467,732.80041,4.591707,0.0,0.0,sequential
39871,cpu,0,3,724.692762,722.882902,1.763953,0.0,0.0,sequential
40045,cpu,0,4,745.677779,741.465882,4.10739,0.0,0.0,sequential
40349,cpu,0,5,778.579716,774.196882,4.274431,0.0,0.0,sequential
40653,cpu,0,6,748.691884,745.101136,3.561704,0.0,0.0,sequential
40827,cpu,0,7,741.780186,737.407344,4.339168,0.0,0.0,sequential
41131,cpu,0,8,740.933033,737.214017,3.634498,0.0,0.0,sequential
41305,cpu,0,9,798.416866,793.491098,4.817534,0.0,0.0,sequential
41609,cpu,0,10,737.731287,733.604952,4.068396,0.0,0.0,sequential
42174,cpu,3,1,2106.897828,798.488559,1308.351232,0.0,0.0,sequential
42609,cpu,3,2,2101.804058,732.662142,1369.053369,0.0,0.0,sequential
43174,cpu,3,3,2166.715745,765.508566,1401.207179,0.0,0.0,sequential
43739,cpu,3,4,2101.816192,775.575539,1326.240653,0.0,0.0,sequential
44174,cpu,3,5,2151.790457,728.625479,1423.135293,0.0,0.0,sequential
44739,cpu,3,6,2111.77752,745.747807,1366.01225,0.0,0.0,sequential
45304,cpu,3,7,2106.546455,739.332905,1367.194144,0.0,0.0,sequential
45739,cpu,3,8,2186.430045,777.604071,1408.825974,0.0,0.0,sequential
46304,cpu,3,9,2062.832864,733.810504,1329.01701,0.0,0.0,sequential
46869,cpu,3,10,2178.649419,760.238735,1418.39838,0.0,0.0,sequential
47173,cpu,0,1,1063.281873,1059.056635,4.211352,0.0,0.0,aes
47347,cpu,0,2,1053.058078,1048.709415,4.345196,0.0,0.0,aes
47651,cpu,0,3,1068.125606,1064.101969,4.017265,0.0,0.0,aes
47825,cpu,0,4,1076.60805,1072.189618,4.39596,0.0,0.0,aes
48129,cpu,0,5,1042.142473,1037.981103,4.156541,0.0,0.0,aes
48303,cpu,0,6,1063.576997,1059.620448,3.91967,0.0,0.0,aes
48607,cpu,0,7,1064.549522,1060.429364,4.091675,0.0,0.0,aes
48911,cpu,0,8,1043.55605,1039.142645,4.38437,0.0,0.0,aes
49085,cpu,0,9,1074.328265,1070.093096,4.229148,0.0,0.0,aes
49389,cpu,0,10,1077.983649,1076.195717,1.784836,0.0,0.0,aes
49824,cpu,3,1,3445.797141,1137.030237,2308.757747,0.0,0.0,aes
50389,cpu,3,2,3435.816313,1091.950608,2343.855175,0.0,0.0,aes
50954,cpu,3,3,3450.800344,1122.263983,2328.525992,0.0,0.0,aes
51519,cpu,3,4,3639.740259,1248.833373,2390.876459,0.0,0.0,aes
51954,cpu,3,5,3479.802962,1081.274354,2398.526013,0.0,0.0,aes
52519,cpu,3,6,3490.801944,1170.050848,2320.745205,0.0,0.0,aes
