cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
69834,"network",0,1,7884.387774,7884.011144,0.253437,0,0.045194
70051,"network",0,2,7655.925755,7651.798602,0.17501,3.858829,0
70268,"network",0,3,7696.037981,7690.101849,0.146054,5.7059,0
70485,"network",0,4,7663.081023,7651.706567,0.403994,10.717055,0
70832,"network",0,5,7676.639509,7672.344297,0.183149,3.883636,0
71049,"network",0,6,7675.021716,7663.987295,0.226244,10.648255,0
71266,"network",0,7,7727.466019,7712.548978,0.189831,14.573181,0
71483,"network",0,8,7661.399003,7644.218988,0.181716,16.818547,0
71700,"network",0,9,7733.994374,7729.950957,0.181178,3.64041,0
71917,"network",0,10,7712.789327,7708.329921,0.1925,3.945832,0
72239,"network",4,1,37179.208286,9323.389234,0.36837,27826.29508,0.019446
73601,"network",4,2,36443.723991,7997.781877,0.32456,28419.208594,0.054896
74833,"network",4,3,36316.680945,7884.088181,0.366016,28408.441451,0.014337
76065,"network",4,4,36838.680909,9360.722334,0.303377,27448.320163,0.045726
77297,"network",4,5,36600.527124,7409.337282,0.276216,29166.900029,0.040667
78616,"network",4,6,36473.247529,1680.156186,0.223002,34787.002156,0.045255
79718,"network",4,7,36862.883214,9059.223913,0.337531,27773.508009,0.014967
81080,"network",4,8,36611.549703,8401.24355,0.263851,28182.276354,0.028715
82399,"network",4,9,36672.299219,8077.406226,0.361064,28568.874887,0.054722
83631,"network",4,10,36576.980927,8645.835357,0.301544,27904.366755,0.023494
