cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
69834,"network",0,1,7884.387774,7588.448927,8.078982,279.319075,0.055103
70051,"network",0,2,7655.925755,7347.211634,4.851505,295.730112,0
70268,"network",0,3,7696.037981,7422.272333,5.104886,260.256899,0
70485,"network",0,4,7663.081023,7355.057605,5.600941,293.907867,0
70832,"network",0,5,7676.639509,7384.301337,5.071598,279.471533,0
71049,"network",0,6,7675.021716,7323.178271,5.200627,337.858212,0
71266,"network",0,7,7727.466019,7404.811455,6.837566,308.753992,0
71483,"network",0,8,7661.399003,7374.524651,6.160001,272.959589,0
71700,"network",0,9,7733.994374,7365.349992,5.237725,354.856279,0
71917,"network",0,10,7712.789327,7386.706706,5.354518,311.641029,0
72239,"network",4,1,37179.208286,9282.678866,7.143388,27856.892675,0.033312
73601,"network",4,2,36443.723991,7974.9112,5.789645,28431.716564,0.068321
74833,"network",4,3,36316.680945,7862.939,5.186054,28419.997134,0.033652
76065,"network",4,4,36838.680909,9332.823787,5.030141,27465.934629,0.060172
77297,"network",4,5,36600.527124,7388.34274,5.565031,29177.912688,0.05315
78616,"network",4,6,36473.247529,1674.739614,4.529007,34790.179337,0.056246
79718,"network",4,7,36862.883214,9020.980383,6.575324,27801.566551,0.033112
81080,"network",4,8,36611.549703,8365.880117,5.955432,28207.849476,0.048803
82399,"network",4,9,36672.299219,8041.985616,10.437538,28594.548284,0.066525
83631,"network",4,10,36576.980927,8618.980813,5.949831,27921.440257,0.04265
