cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
194251,"cpu",0,1,790.740277,790.537946,0.180129,0,0
194555,"cpu",0,2,798.491088,798.403113,0.04277,0,0
194729,"cpu",0,3,782.07902,781.027593,1.02124,0,0
195033,"cpu",0,4,812.745967,812.674884,0.035126,0,0
195337,"cpu",0,5,810.227881,810.162248,0.035116,0,0
195511,"cpu",0,6,821.643012,821.600273,0.035756,0,0
195815,"cpu",0,7,825.232409,825.167417,0.043462,0,0
195989,"cpu",0,8,798.781348,798.724472,0.031498,0,0
196293,"cpu",0,9,803.533311,803.424867,0.070313,0,0
196467,"cpu",0,10,800.024843,799.964359,0.040787,0,0
197032,"cpu",3,1,2360.782754,826.053917,1534.702497,0,0
197597,"cpu",3,2,2414.782966,868.047224,1546.709623,0,0
198032,"cpu",3,3,2409.847193,799.025527,1610.798793,0,0
198597,"cpu",3,4,2350.843137,822.716812,1528.126325,0,0
199162,"cpu",3,5,2596.780828,1027.023308,1569.755035,0,0
199597,"cpu",3,6,2399.753778,856.732193,1543.001167,0,0
200249,"cpu",3,7,2332.582657,804.286492,1528.28832,0,0
200814,"cpu",3,8,2474.804093,871.471952,1603.327172,0,0
201249,"cpu",3,9,2477.71893,864.609934,1613.08479,0,0
201814,"cpu",3,10,2343.785833,819.111499,1524.674334,0,0
