cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
194251,"cpu",0,1,790.740277,372.804172,417.936105,0,0
194555,"cpu",0,2,798.491088,378.971018,419.474865,0,0
194729,"cpu",0,3,782.07902,370.601373,411.44746,0,0
195033,"cpu",0,4,812.745967,376.118338,436.627629,0,0
195337,"cpu",0,5,810.227881,397.049163,413.167958,0,0
195511,"cpu",0,6,821.643012,389.606059,432.036953,0,0
195815,"cpu",0,7,825.232409,386.920218,438.312191,0,0
195989,"cpu",0,8,798.781348,391.262364,407.493606,0,0
196293,"cpu",0,9,803.533311,390.14779,413.385521,0,0
196467,"cpu",0,10,800.024843,385.645031,414.379812,0,0
197032,"cpu",3,1,2360.782754,428.025979,1932.742107,0,0
197597,"cpu",3,2,2414.782966,427.982016,1986.776574,0,0
198032,"cpu",3,3,2409.847193,380.245568,2029.601625,0,0
198597,"cpu",3,4,2350.843137,401.631115,1949.212022,0,0
199162,"cpu",3,5,2596.780828,603.324456,1993.453887,0,0
199597,"cpu",3,6,2399.753778,448.597387,1951.152824,0,0
200249,"cpu",3,7,2332.582657,411.843087,1920.73957,0,0
200814,"cpu",3,8,2474.804093,442.692089,2032.112004,0,0
201249,"cpu",3,9,2477.71893,451.920326,2025.789717,0,0
201814,"cpu",3,10,2343.785833,409.842609,1933.943224,0,0
