cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
55040,"network",0,1,7728.646805,7724.408714,0.229375,3.797639,0
55257,"network",0,2,7656.043538,7652.409103,0.189669,3.274376,0
55474,"network",0,3,7860.951387,7860.28995,0.248841,0.070523,0
55691,"network",0,4,7725.723745,7716.041696,0.254817,9.219238,0
56038,"network",0,5,7670.130387,7662.88182,0.163495,6.924435,0
56255,"network",0,6,7706.917289,7691.455292,0.223025,15.087838,0
56472,"network",0,7,7711.153834,7701.670117,0.231186,9.013161,0
56689,"network",0,8,7717.898593,7714.369825,0.215879,3.147306,0
56906,"network",0,9,7722.003203,7718.782926,0.165574,2.836321,0
57123,"network",0,10,7658.168186,7646.526996,0.184066,11.206382,0
57445,"network",4,1,36474.787343,9427.548342,0.357484,27016.907726,0.048101
58764,"network",4,2,36436.721953,8638.475391,0.343582,27770.882145,0.056366
59996,"network",4,3,36659.528641,8328.796426,0.351476,28303.592873,0.028124
61358,"network",4,4,36617.998725,654.482177,0.328476,35961.153065,0.039863
62590,"network",4,5,36411.92504,7273.858185,0.337484,29113.288763,0.020246
63692,"network",4,6,36809.227209,9546.148081,0.314639,27232.653541,0.06399
64924,"network",4,7,36599.043134,8173.294688,0.274518,28401.293707,0.020387
66156,"network",4,8,36241.201544,9112.32989,0.337815,27099.983437,0.051719
67475,"network",4,9,36621.032187,4008.375985,0.286423,32599.434721,0.019816
68707,"network",4,10,36407.10606,7601.900502,2.092842,28780.397318,0.052271
