cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
55040,"network",0,1,7728.646805,7464.536814,5.276517,250.015593,0
55257,"network",0,2,7656.043538,7335.241596,7.440833,306.688196,0
55474,"network",0,3,7860.951387,7594.177564,5.296337,252.820247,0
55691,"network",0,4,7725.723745,7407.674826,5.778219,304.045375,0
56038,"network",0,5,7670.130387,7380.897219,4.721391,275.219827,0
56255,"network",0,6,7706.917289,7464.893158,5.398726,228.475647,0
56472,"network",0,7,7711.153834,7368.93198,4.654793,328.270134,0
56689,"network",0,8,7717.898593,7462.041928,4.815694,242.034053,0
56906,"network",0,9,7722.003203,7406.091663,5.423106,302.164352,0
57123,"network",0,10,7658.168186,7403.382229,5.46953,240.954491,0
57445,"network",4,1,36474.787343,9373.361123,6.773063,27060.999172,0.057939
58764,"network",4,2,36436.721953,8604.838109,8.889834,27794.658746,0.064549
59996,"network",4,3,36659.528641,8301.530784,6.831807,28320.815166,0.03689
61358,"network",4,4,36617.998725,646.698568,5.559594,35968.254447,0.057766
62590,"network",4,5,36411.92504,7244.270678,5.259241,29133.063333,0.036555
63692,"network",4,6,36809.227209,9519.916837,5.74943,27248.570394,0.06989
64924,"network",4,7,36599.043134,8136.981878,4.805078,28428.358082,0.039276
66156,"network",4,8,36241.201544,9081.989812,7.853675,27119.919499,0.060835
67475,"network",4,9,36621.032187,3982.298974,6.73888,32620.280615,0.025395
68707,"network",4,10,36407.10606,7584.255777,8.990004,28788.980516,0.058343
