victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
"float",2000000,"solo",1,487.263402,487.217416,0.045986
"float",2000000,"stress",1,757.44712,477.292674,279.001045
"float",2000000,"solo",2,430.645677,430.562652,0.036428
"float",2000000,"stress",2,698.573358,473.048117,225.515944
"float",2000000,"solo",3,463.850999,463.774633,0.054414
"float",2000000,"stress",3,807.398762,443.805567,363.59048
"float",2000000,"solo",4,443.357786,443.262556,0.082005
"float",2000000,"stress",4,763.572627,448.610588,314.920719
"float",2000000,"solo",5,443.767032,443.724284,0.042748
"float",2000000,"stress",5,628.509667,457.795483,170.700278
"float",2000000,"solo",6,440.075802,440.030394,0.031231
"float",2000000,"stress",6,884.603062,449.741242,434.854507
"float",2000000,"solo",7,445.320099,445.061063,0.259036
"float",2000000,"stress",7,600.458208,444.712744,155.745464
"float",2000000,"solo",8,436.039006,435.988513,0.050493
"float",2000000,"stress",8,674.557722,462.800207,211.757515
"float",2000000,"solo",9,451.46833,451.39992,0.06841
"float",2000000,"stress",9,957.595857,464.983829,492.612028
"float",2000000,"solo",10,458.015328,457.93156,0.083768
"float",2000000,"stress",10,679.3887,448.509596,230.879104
"float",2000000,"solo",11,433.602813,433.555667,0.047146
"float",2000000,"stress",11,659.354903,450.492668,208.862235
"float",2000000,"solo",12,447.477755,447.437009,0.040746
"float",2000000,"stress",12,746.946886,463.05664,283.890246
"float",2000000,"solo",13,428.861575,428.798404,0.063171
"float",2000000,"stress",13,914.843472,497.757632,417.08584
"float",2000000,"solo",14,438.007012,437.966347,0.040665
"float",2000000,"stress",14,846.567491,430.06418,416.503311
"float",2000000,"solo",15,445.886039,445.84395,0.042089
"float",2000000,"stress",15,1017.410274,489.512547,527.897727
"float",2000000,"solo",16,455.89162,455.551992,0.339628
"float",2000000,"stress",16,883.477087,447.040973,436.436114
"float",2000000,"solo",17,466.734714,466.69102,0.043694
"float",2000000,"stress",17,610.829945,438.166119,172.663826
"float",2000000,"solo",18,479.012358,478.971834,0.040524
"float",2000000,"stress",18,779.515056,461.712105,317.802951
"float",2000000,"solo",19,470.081342,470.036068,0.045274
"float",2000000,"stress",19,666.422259,451.51058,214.911679
"float",2000000,"solo",20,438.223897,438.117707,0.10619
"float",2000000,"stress",20,789.473228,485.393116,304.080112
"float",5000000,"solo",1,672.028701,671.701969,0.29326
"float",5000000,"stress",1,1844.425229,703.786191,1140.639038
"float",5000000,"solo",2,705.092978,705.018937,0.074041
"float",5000000,"stress",2,1295.556357,684.810551,610.745806
"float",5000000,"solo",3,692.132944,692.049346,0.083598
"float",5000000,"stress",3,1500.459374,685.530267,814.929107
"float",5000000,"solo",4,695.43639,695.388611,0.047779
