timestamp,resource_type,container_count,iteration,cpu_percent,memory_mb,cpu_ratio_system,mem_ratio_system
1782922497.071892510,float_op,1,1,2.93,70.8398,0.1221,0.0752
1782922500.692645958,float_op,1,2,2.93,70.8047,0.1221,0.0752
1782922504.253029934,float_op,1,3,2.93,70.8359,0.1221,0.0752
1782922507.756540809,float_op,1,4,3.91,70.8398,0.1629,0.0752
1782922511.458232461,float_op,1,5,2.93,70.8125,0.1221,0.0752
1782922515.001732416,float_op,1,6,1.95,70.8008,0.0813,0.0752
1782922518.652823205,float_op,1,7,1.95,70.8359,0.0813,0.0752
1782922522.264437298,float_op,1,8,2.93,70.8398,0.1221,0.0752
1782922525.845982227,float_op,1,9,1.95,70.8008,0.0813,0.0752
1782922529.437902452,float_op,1,10,1.95,70.8203,0.0813,0.0752
1782922533.020874801,float_op,1,11,2.93,70.8359,0.1221,0.0752
1782922536.693272018,float_op,1,12,2.93,70.793,0.1221,0.0752
1782922540.143503292,float_op,1,13,3.90,70.8398,0.1625,0.0752
1782922543.676671077,float_op,1,14,3.90,70.8359,0.1625,0.0752
1782922547.268075474,float_op,1,15,3.91,70.8281,0.1629,0.0752
1782922551.386843893,float_op,1,16,3.90,70.8398,0.1625,0.0752
1782922554.952597917,float_op,1,17,1.95,70.793,0.0813,0.0752
1782922558.605298962,float_op,1,18,3.91,70.8242,0.1629,0.0752
1782922562.137945551,float_op,1,19,2.93,70.8047,0.1221,0.0752
1782922565.649599207,float_op,1,20,2.93,70.8125,0.1221,0.0752
1782922569.188540216,float_op,1,21,2.93,70.8203,0.1221,0.0752
1782922572.642237931,float_op,1,22,1.95,70.8047,0.0813,0.0752
1782922576.234028936,float_op,1,23,2.93,70.8164,0.1221,0.0752
1782922579.755759639,float_op,1,24,1.95,70.8359,0.0813,0.0752
1782922583.297132774,float_op,1,25,2.93,70.8359,0.1221,0.0752
1782922586.900750526,float_op,1,26,2.93,70.832,0.1221,0.0752
1782922590.441357298,float_op,1,27,3.90,70.7773,0.1625,0.0752
1782922593.932135266,float_op,1,28,2.93,70.8125,0.1221,0.0752
1782922597.695329596,float_op,1,29,1.95,70.8359,0.0813,0.0752
1782922601.278141727,float_op,1,30,3.90,70.8281,0.1625,0.0752
1782922606.888397935,factors,1,1,1.95,70.8438,0.0813,0.0753
1782922610.656777478,factors,1,2,2.93,70.8086,0.1221,0.0752
1782922614.379118857,factors,1,3,2.93,70.8125,0.1221,0.0752
1782922618.081789472,factors,1,4,2.93,70.8125,0.1221,0.0752
1782922621.915180871,factors,1,5,2.93,70.8086,0.1221,0.0752
1782922625.776932391,factors,1,6,2.93,70.7969,0.1221,0.0752
1782922629.588621431,factors,1,7,1.95,70.8125,0.0813,0.0752
1782922633.391952487,factors,1,8,2.93,70.8203,0.1221,0.0752
1782922637.153993364,factors,1,9,1.95,70.8438,0.0813,0.0753
1782922640.996279899,factors,1,10,2.93,70.8398,0.1221,0.0752
1782922644.730242740,factors,1,11,2.93,70.8398,0.1221,0.0752
1782922648.631293452,factors,1,12,0.98,70.8398,0.0408,0.0752
1782922652.564630701,factors,1,13,2.93,70.8281,0.1221,0.0752
1782922656.425951127,factors,1,14,1.95,70.8164,0.0813,0.0752
1782922660.189817121,factors,1,15,0.98,70.8359,0.0408,0.0752
1782922663.992990884,factors,1,16,0.98,70.8398,0.0408,0.0752
1782922667.805136789,factors,1,17,1.95,70.8164,0.0813,0.0752
1782922671.696065738,factors,1,18,1.95,70.7852,0.0813,0.0752
1782922675.408261882,factors,1,19,1.95,70.8281,0.0813,0.0752
1782922679.103984500,factors,1,20,1.95,70.8203,0.0813,0.0752
1782922682.895637199,factors,1,21,1.95,70.8281,0.0813,0.0752
1782922686.678551830,factors,1,22,1.95,70.8359,0.0813,0.0752
1782922690.470167869,factors,1,23,2.93,70.8359,0.1221,0.0752
1782922694.153331474,factors,1,24,1.95,70.8125,0.0813,0.0752
1782922697.946023820,factors,1,25,2.93,70.832,0.1221,0.0752
1782922701.616672620,factors,1,26,1.95,70.8281,0.0813,0.0752
1782922705.431461675,factors,1,27,2.93,70.832,0.1221,0.0752
1782922709.253579163,factors,1,28,2.93,70.8086,0.1221,0.0752
1782922712.953794594,factors,1,29,2.93,70.7812,0.1221,0.0752
1782922716.717206813,factors,1,30,1.95,70.8047,0.0813,0.0752
1782922722.399797950,sequential,1,1,2.93,70.8398,0.1221,0.0752
1782922725.956205773,sequential,1,2,1.95,70.8242,0.0813,0.0752
1782922729.728817282,sequential,1,3,2.93,70.8281,0.1221,0.0752
1782922733.269778367,sequential,1,4,1.95,70.75,0.0813,0.0752
1782922736.922540048,sequential,1,5,1.95,70.8242,0.0813,0.0752
1782922740.585014807,sequential,1,6,2.93,70.8164,0.1221,0.0752
1782922744.267554979,sequential,1,7,2.93,70.8125,0.1221,0.0752
1782922747.756866998,sequential,1,8,2.93,70.8398,0.1221,0.0752
1782922751.420998120,sequential,1,9,2.93,70.793,0.1221,0.0752
1782922755.143308114,sequential,1,10,2.93,70.8359,0.1221,0.0752
1782922758.896026186,sequential,1,11,1.95,70.8008,0.0813,0.0752
1782922762.668481522,sequential,1,12,2.93,70.8125,0.1221,0.0752
1782922766.380125569,sequential,1,13,2.93,70.8164,0.1221,0.0752
1782922770.133757469,sequential,1,14,2.93,70.8398,0.1221,0.0752
1782922773.714787103,sequential,1,15,2.93,70.8203,0.1221,0.0752
