timestamp,resource_type,container_count,iteration,cpu_percent,memory_mb,cpu_ratio_system,mem_ratio_system
1782669596.776418603,float_op,1,1,3.91,70.8398,0.1629,0.0752
1782669600.266517410,float_op,1,2,2.93,70.8359,0.1221,0.0752
1782669603.768796660,float_op,1,3,2.93,70.8086,0.1221,0.0752
1782669607.479628016,float_op,1,4,2.93,70.8125,0.1221,0.0752
1782669611.182540611,float_op,1,5,2.93,70.8398,0.1221,0.0752
1782669614.714520744,float_op,1,6,3.91,70.8281,0.1629,0.0752
1782669618.206031558,float_op,1,7,2.93,70.832,0.1221,0.0752
1782669621.837094235,float_op,1,8,2.93,70.8203,0.1221,0.0752
1782669625.370130568,float_op,1,9,2.93,70.8125,0.1221,0.0752
1782669628.952937089,float_op,1,10,2.93,70.8281,0.1221,0.0752
1782669632.393824747,float_op,1,11,2.93,70.8281,0.1221,0.0752
1782669635.985666710,float_op,1,12,3.90,70.8086,0.1625,0.0752
1782669639.426444192,float_op,1,13,1.95,70.8047,0.0813,0.0752
1782669643.010343047,float_op,1,14,3.90,70.8125,0.1625,0.0752
1782669646.632868401,float_op,1,15,4.88,70.8047,0.2033,0.0752
1782669650.615023139,float_op,1,16,2.93,70.8125,0.1221,0.0752
1782669654.275124881,float_op,1,17,2.93,70.8047,0.1221,0.0752
1782669657.740359448,float_op,1,18,2.93,70.8398,0.1221,0.0752
1782669661.239943500,float_op,1,19,2.93,70.8164,0.1221,0.0752
1782669664.832252394,float_op,1,20,2.93,70.8164,0.1221,0.0752
1782669671.865561456,float_op,1,22,2.93,70.8242,0.1221,0.0752
1782669675.376840557,float_op,1,23,3.91,70.8359,0.1629,0.0752
1782669679.059026642,float_op,1,24,2.93,70.8125,0.1221,0.0752
1782669682.539761093,float_op,1,25,2.93,70.8164,0.1221,0.0752
1782669686.083221645,float_op,1,26,2.92,70.8359,0.1217,0.0752
1782669689.654995974,float_op,1,27,2.93,70.8398,0.1221,0.0752
1782669693.146094060,float_op,1,28,2.93,70.832,0.1221,0.0752
1782669696.739224224,float_op,1,29,1.95,70.8242,0.0813,0.0752
1782669700.380571177,float_op,1,30,2.93,70.8203,0.1221,0.0752
1782669706.042617922,factors,1,1,1.95,70.832,0.0813,0.0752
1782669709.889721443,factors,1,2,0.98,70.8359,0.0408,0.0752
1782669713.550649246,factors,1,3,2.93,70.7539,0.1221,0.0752
1782669717.356488828,factors,1,4,1.95,70.7695,0.0813,0.0752
1782669721.139339530,factors,1,5,1.95,70.6797,0.0813,0.0751
1782669724.861034911,factors,1,6,1.95,70.8359,0.0813,0.0752
1782669728.725214072,factors,1,7,2.93,70.8398,0.1221,0.0752
1782669732.597990217,factors,1,8,2.93,70.8086,0.1221,0.0752
1782669736.438911671,factors,1,9,2.93,70.8242,0.1221,0.0752
1782669740.231821200,factors,1,10,2.93,70.8398,0.1221,0.0752
1782669744.053440888,factors,1,11,1.95,70.8086,0.0813,0.0752
1782669747.897599048,factors,1,12,1.95,70.8398,0.0813,0.0752
1782669751.739798168,factors,1,13,2.93,70.8281,0.1221,0.0752
1782669755.571530482,factors,1,14,2.93,70.8203,0.1221,0.0752
1782669759.265508075,factors,1,15,2.93,70.832,0.1221,0.0752
1782669763.108565700,factors,1,16,2.93,70.8125,0.1221,0.0752
1782669767.059103093,factors,1,17,2.93,70.7422,0.1221,0.0751
1782669770.862700083,factors,1,18,2.93,70.8047,0.1221,0.0752
1782669774.604649478,factors,1,19,2.93,70.8398,0.1221,0.0752
1782669778.457784111,factors,1,20,2.93,70.8242,0.1221,0.0752
1782669782.370571160,factors,1,21,2.93,70.8086,0.1221,0.0752
1782669786.191727048,factors,1,22,1.95,70.832,0.0813,0.0752
