cgroup_id,resource_type,container_count,iteration,t_e2e_ms,with_puretime
375145,cpu,1,1,2234,false
375319,cpu,1,1,2231,true
375406,cpu,1,2,2204,false
375580,cpu,1,2,2197,true
375667,cpu,1,3,2217,false
375841,cpu,1,3,2263,true
375928,cpu,1,4,2292,false
376102,cpu,1,4,2204,true
376189,cpu,1,5,2286,false
376363,cpu,1,5,2244,true
376450,cpu,1,6,2230,false
376537,cpu,1,6,2277,true
376711,cpu,1,7,2287,false
376798,cpu,1,7,2262,true
376972,cpu,1,8,2194,false
377059,cpu,1,8,2206,true
377233,cpu,1,9,2258,false
377320,cpu,1,9,2260,true
377581,cpu,1,10,2203,false
377668,cpu,1,10,2233,true
377842,cpu,5,1,4863,false
377929,cpu,5,1,8604,false
378016,cpu,5,1,5840,false
378103,cpu,5,1,8769,false
378190,cpu,5,1,6900,false
378364,cpu,5,1,9601,true
378451,cpu,5,1,6523,true
378538,cpu,5,1,6935,true
378625,cpu,5,1,8713,true
378712,cpu,5,1,6547,true
378886,cpu,5,2,5971,false
378973,cpu,5,2,7509,false
379060,cpu,5,2,7538,false
379147,cpu,5,2,8602,false
379234,cpu,5,2,6749,false
379408,cpu,5,2,4253,true
379495,cpu,5,2,9266,true
379582,cpu,5,2,5194,true
379669,cpu,5,2,8606,true
379756,cpu,5,2,6615,true
379930,cpu,5,3,8715,false
380104,cpu,5,3,6152,false
380191,cpu,5,3,9088,false
380278,cpu,5,3,6684,false
380365,cpu,5,3,8006,false
380539,cpu,5,3,6286,true
380626,cpu,5,3,6801,true
380713,cpu,5,3,9082,true
380800,cpu,5,3,7422,true
380887,cpu,5,3,8051,true
381061,cpu,5,4,5605,false
381148,cpu,5,4,6795,false
381235,cpu,5,4,9339,false
381322,cpu,5,4,6578,false
381409,cpu,5,4,7373,false
381583,cpu,5,4,5218,true
381670,cpu,5,4,6747,true
381757,cpu,5,4,6488,true
381844,cpu,5,4,8410,true
382018,cpu,5,4,7032,true
382105,cpu,5,5,10212,false
382279,cpu,5,5,5883,false
382366,cpu,5,5,6260,false
382453,cpu,5,5,8645,false
382540,cpu,5,5,8074,false
382801,cpu,5,5,9221,true
382888,cpu,5,5,6604,true
382975,cpu,5,5,7033,true
383062,cpu,5,5,8630,true
383149,cpu,5,5,6557,true
383323,cpu,5,6,6565,false
383410,cpu,5,6,7941,false
383497,cpu,5,6,8108,false
383584,cpu,5,6,8756,false
383671,cpu,5,6,7403,false
383845,cpu,5,6,10723,true
383932,cpu,5,6,6399,true
384019,cpu,5,6,9291,true
384106,cpu,5,6,7377,true
384193,cpu,5,6,7207,true
384367,cpu,5,7,5859,false
384454,cpu,5,7,7388,false
384541,cpu,5,7,8828,false
384628,cpu,5,7,8693,false
384715,cpu,5,7,7167,false
384889,cpu,5,7,7702,true
384976,cpu,5,7,5128,true
385063,cpu,5,7,8848,true
385150,cpu,5,7,8544,true
385237,cpu,5,7,5309,true
385411,cpu,5,8,5357,false
385585,cpu,5,8,6637,false
385672,cpu,5,8,9142,false
385759,cpu,5,8,8537,false
385846,cpu,5,8,6202,false
386020,cpu,5,8,5087,true
386107,cpu,5,8,7303,true
386194,cpu,5,8,7235,true
386281,cpu,5,8,8227,true
386368,cpu,5,8,6265,true
386542,cpu,5,9,6207,false
386629,cpu,5,9,7707,false
386716,cpu,5,9,7925,false
386803,cpu,5,9,7579,false
386890,cpu,5,9,7864,false
387064,cpu,5,9,5916,true
387151,cpu,5,9,7513,true
387238,cpu,5,9,7679,true
387325,cpu,5,9,8579,true
387412,cpu,5,9,6927,true
387586,cpu,5,10,5422,false
387760,cpu,5,10,6859,false
387847,cpu,5,10,8803,false
387934,cpu,5,10,8611,false
388021,cpu,5,10,6477,false
388195,cpu,5,10,5553,true
388282,cpu,5,10,9225,true
388369,cpu,5,10,7189,true
388456,cpu,5,10,7109,true
388543,cpu,5,10,7900,true
388717,cpu,8,1,16715,false
388804,cpu,8,1,14786,false
388891,cpu,8,1,11010,false
388978,cpu,8,1,11973,false
389065,cpu,8,1,12269,false
389152,cpu,8,1,12199,false
389239,cpu,8,1,13277,false
389326,cpu,8,1,11356,false
389500,cpu,8,1,12013,true
389587,cpu,8,1,7366,true
389674,cpu,8,1,14239,true
389761,cpu,8,1,14133,true
389935,cpu,8,1,9732,true
390022,cpu,8,1,13029,true
390109,cpu,8,1,9444,true
390196,cpu,8,1,12395,true
390370,cpu,8,2,6809,false
390457,cpu,8,2,9994,false
390544,cpu,8,2,14605,false
390718,cpu,8,2,11303,false
390805,cpu,8,2,11279,false
390892,cpu,8,2,13652,false
390979,cpu,8,2,10770,false
391066,cpu,8,2,10290,false
391240,cpu,8,2,6394,true
391327,cpu,8,2,16439,true
391414,cpu,8,2,11472,true
391501,cpu,8,2,11987,true
391588,cpu,8,2,14637,true
391675,cpu,8,2,12166,true
391849,cpu,8,2,11899,true
391936,cpu,8,2,11416,true
392110,cpu,8,3,6711,false
392197,cpu,8,3,15114,false
392284,cpu,8,3,11122,false
392371,cpu,8,3,14987,false
392458,cpu,8,3,11949,false
392545,cpu,8,3,11800,false
392719,cpu,8,3,11597,false
392806,cpu,8,3,12379,false
392980,cpu,8,3,16661,true
393067,cpu,8,3,8703,true
393154,cpu,8,3,10410,true
393241,cpu,8,3,15164,true
393328,cpu,8,3,11293,true
393415,cpu,8,3,13984,true
393502,cpu,8,3,11006,true
393589,cpu,8,3,10635,true
393850,cpu,8,4,17204,false
393937,cpu,8,4,8987,false
394024,cpu,8,4,15842,false
394111,cpu,8,4,12278,false
394198,cpu,8,4,12705,false
394285,cpu,8,4,12792,false
394372,cpu,8,4,12491,false
394546,cpu,8,4,12023,false
394720,cpu,8,4,9880,true
394807,cpu,8,4,14120,true
394894,cpu,8,4,8430,true
394981,cpu,8,4,8914,true
395068,cpu,8,4,11919,true
395155,cpu,8,4,13086,true
395329,cpu,8,4,8267,true
395416,cpu,8,4,12277,true
395590,cpu,8,5,12749,false
395677,cpu,8,5,14665,false
395764,cpu,8,5,10774,false
395851,cpu,8,5,11649,false
395938,cpu,8,5,11680,false
396025,cpu,8,5,13820,false
396112,cpu,8,5,11135,false
396199,cpu,8,5,12559,false
396460,cpu,8,5,5916,true
396547,cpu,8,5,14395,true
396634,cpu,8,5,9789,true
396721,cpu,8,5,14398,true
396808,cpu,8,5,10478,true
396895,cpu,8,5,10391,true
396982,cpu,8,5,9912,true
397069,cpu,8,5,12184,true
397330,cpu,8,6,16113,false
397417,cpu,8,6,13876,false
397504,cpu,8,6,10205,false
397591,cpu,8,6,11098,false
397678,cpu,8,6,11377,false
397765,cpu,8,6,13806,false
397852,cpu,8,6,10863,false
397939,cpu,8,6,12574,false
398200,cpu,8,6,8624,true
398287,cpu,8,6,12351,true
398374,cpu,8,6,13429,true
398461,cpu,8,6,13917,true
