compute,rounds,iteration,switch_rate,without_ms,with_ms,overhead_pct
0,400000,1,720375,1110.53,1612.68,45.217
0,400000,2,716860,1115.98,1601.28,43.486
0,400000,3,722122,1107.85,1586.98,43.249
0,400000,4,706478,1132.38,1615.69,42.681
0,400000,5,723320,1106.01,1617.64,46.259
0,400000,6,720400,1110.49,1630.2,46.8
0,400000,7,713341,1121.48,1624.37,44.842
0,400000,8,720083,1110.98,1602.68,44.258
0,400000,9,718099,1114.05,1657.1,48.746
0,400000,10,713788,1120.78,1644.54,46.732
0,400000,11,717063,1115.66,1617.7,44.999
0,400000,12,712727,1122.45,1648.84,46.897
0,400000,13,694122,1152.53,1638.85,42.196
0,400000,14,681477,1173.92,1606.68,36.865
0,400000,15,716320,1116.82,1601.58,43.405
300,180000,1,330389,1089.63,1313.61,20.556
300,180000,2,332289,1083.39,1293.22,19.368
300,180000,3,336710,1069.17,1344.2,25.724
300,180000,4,332328,1083.27,1301.02,20.101
300,180000,5,340627,1056.87,1305.04,23.482
300,180000,6,325204,1107.0,1338.85,20.944
300,180000,7,331473,1086.06,1306.62,20.308
300,180000,8,329400,1092.9,1336.1,22.253
300,180000,9,322402,1116.62,1279.17,14.557
300,180000,10,334065,1077.64,1339.96,24.342
300,180000,11,325257,1106.82,1315.51,18.855
300,180000,12,333561,1079.26,1314.43,21.79
300,180000,13,334843,1075.13,1285.16,19.535
300,180000,14,334202,1077.19,1319.32,22.478
300,180000,15,336116,1071.06,1298.28,21.214
800,120000,1,144110,1665.39,1833.75,10.109
800,120000,2,142378,1685.65,1828.73,8.488
800,120000,3,142588,1683.17,1839.63,9.296
800,120000,4,137663,1743.39,1837.01,5.37
800,120000,5,134293,1787.14,1837.73,2.831
800,120000,6,138147,1737.28,1828.4,5.245
800,120000,7,144461,1661.35,1832.8,10.32
800,120000,8,143970,1667.01,1843.66,10.597
800,120000,9,144933,1655.93,1839.91,11.11
800,120000,10,141463,1696.56,1821.25,7.35
800,120000,11,143139,1676.69,1828.64,9.062
800,120000,12,143483,1672.67,1824.43,9.073
800,120000,13,144455,1661.42,2020.66,21.622
800,120000,14,142448,1684.82,1851.77,9.909
800,120000,15,138918,1727.64,1830.6,5.96
2000,80000,1,55773,2868.75,2750.53,-4.121
2000,80000,2,60858,2629.08,2839.71,8.012
2000,80000,3,60351,2651.17,2890.89,9.042
2000,80000,4,61013,2622.39,2762.13,5.329
2000,80000,5,60213,2657.24,2912.02,9.588
2000,80000,6,61230,2613.1,2744.34,5.022
2000,80000,7,61198,2614.46,2755.14,5.381
2000,80000,8,60377,2650.02,2753.58,3.908
2000,80000,9,60978,2623.89,2831.3,7.905
2000,80000,10,59953,2668.76,2933.72,9.928
2000,80000,11,59984,2667.38,2741.24,2.769
2000,80000,12,61000,2622.96,2739.62,4.448
2000,80000,13,60962,2624.57,2751.55,4.838
2000,80000,14,61225,2613.31,2847.89,8.976
2000,80000,15,60911,2626.8,2767.45,5.354
4500,45000,1,27680,3251.39,3339.4,2.707
4500,45000,2,27588,3262.3,3316.71,1.668
4500,45000,3,25871,3478.78,3348.04,-3.758
4500,45000,4,27640,3256.1,3392.65,4.194
4500,45000,5,27474,3275.84,3327.66,1.582
4500,45000,6,27595,3261.45,3310.45,1.502
4500,45000,7,27762,3241.82,3537.09,9.108
4500,45000,8,27755,3242.68,3370.12,3.93
4500,45000,9,27471,3276.18,3343.89,2.067
4500,45000,10,27749,3243.35,3321.88,2.421
4500,45000,11,27664,3253.38,3379.9,3.889
4500,45000,12,27623,3258.12,3315.02,1.746
4500,45000,13,27674,3252.1,3342.74,2.787
4500,45000,14,26653,3376.69,3315.56,-1.81
4500,45000,15,27563,3265.27,3318.48,1.63
7000,18000,1,17849,2016.95,2038.66,1.076
7000,18000,2,17861,2015.52,2047.91,1.607
7000,18000,3,17923,2008.55,2052.49,2.188
7000,18000,4,17098,2105.46,2045.76,-2.835
7000,18000,5,17893,2011.97,2148.54,6.788
7000,18000,6,17896,2011.6,2036.38,1.232
7000,18000,7,17821,2020.08,2062.63,2.106
7000,18000,8,17834,2018.62,2178.88,7.939
7000,18000,9,17879,2013.52,2074.23,3.015
7000,18000,10,17746,2028.67,2035.22,0.323
7000,18000,11,15946,2257.63,2037.55,-9.748
7000,18000,12,17745,2028.77,2058.11,1.446
7000,18000,13,17338,2076.34,2041.3,-1.688
7000,18000,14,17878,2013.63,2044.71,1.543
7000,18000,15,17935,2007.19,2029.3,1.102
7000,18000,16,16702,2155.44,2068.31,-4.042
7000,18000,17,17793,2023.24,2033.38,0.501
7000,18000,18,17889,2012.39,2039.11,1.328
7000,18000,19,17839,2018.08,2036.48,0.912
7000,18000,20,17852,2016.57,2037.15,1.021
7000,18000,21,17928,2008.07,2187.03,8.912
7000,18000,22,17908,2010.32,2052.65,2.106
7000,18000,23,17854,2016.33,2073.24,2.822
7000,18000,24,17332,2077.1,2303.09,10.88
7000,18000,25,17908,2010.31,2038.72,1.413
7000,18000,26,17786,2024.05,2037.58,0.668
7000,18000,27,17878,2013.65,2036.83,1.151
7000,18000,28,17738,2029.54,2037.79,0.406
7000,18000,29,17866,2014.95,2034.99,0.995
7000,18000,30,17760,2027.01,2031.19,0.206
7000,18000,31,17947,2005.9,2043.7,1.884
