victim,iteration,without_ms,with_ms,overhead_pct,dropped_events
float_op,1,293.99,306.11,4.123,0
float_op,2,305.3,307.28,0.649,0
float_op,3,308.35,308.49,0.045,0
float_op,4,293.16,305.99,4.376,0
float_op,5,308.19,308.67,0.156,0
float_op,6,293.01,304.86,4.044,0
float_op,7,304.83,292.41,-4.074,0
float_op,8,305.62,300.03,-1.829,0
float_op,9,305.2,306.57,0.449,0
float_op,10,291.32,293.59,0.779,0
float_op,11,302.93,303.59,0.218,0
float_op,12,299.68,292.24,-2.483,0
float_op,13,310.15,305.08,-1.635,0
float_op,14,291.82,306.91,5.171,0
float_op,15,291.91,300.03,2.782,0
float_op,16,304.66,291.36,-4.366,0
float_op,17,290.96,292.73,0.608,0
float_op,18,291.06,292.14,0.371,0
float_op,19,307.08,306.53,-0.179,0
float_op,20,292.59,303.63,3.773,0
float_op,21,306.78,306.04,-0.241,0
float_op,22,307.08,305.84,-0.404,0
float_op,23,306.69,291.51,-4.95,0
float_op,24,299.68,312.39,4.241,0
float_op,25,321.54,292.21,-9.122,0
float_op,26,291.58,306.44,5.096,0
float_op,27,299.9,306.02,2.041,0
float_op,28,307.43,307.52,0.029,0
float_op,29,306.93,299.65,-2.372,0
float_op,30,302.87,306.41,1.169,0
factors,1,582.29,561.36,-3.594,0
factors,2,552.91,519.16,-6.104,0
factors,3,558.92,522.42,-6.53,0
factors,4,533.15,520.15,-2.438,0
factors,5,520.25,519.13,-0.215,0
factors,6,553.39,553.22,-0.031,0
factors,7,520.22,524.46,0.815,0
factors,8,563.63,524.5,-6.942,0
factors,9,520.71,521.59,0.169,0
factors,10,527.34,555.02,5.249,0
factors,11,543.25,573.56,5.579,0
factors,12,525.9,521.46,-0.844,0
factors,13,524.25,520.77,-0.664,0
factors,14,520.51,557.32,7.072,0
factors,15,524.39,530.21,1.11,0
factors,16,527.12,525.58,-0.292,0
factors,17,528.76,529.13,0.07,0
factors,18,563.11,568.5,0.957,0
factors,19,524.92,560.01,6.685,0
factors,20,529.07,531.67,0.491,0
factors,21,522.03,558.16,6.921,0
factors,22,545.4,559.5,2.585,0
factors,23,524.76,522.2,-0.488,0
factors,24,559.13,519.78,-7.038,0
factors,25,541.25,546.67,1.001,0
factors,26,528.72,539.11,1.965,0
factors,27,522.76,521.53,-0.235,0
factors,28,520.2,525.59,1.036,0
factors,29,525.46,546.42,3.989,0
factors,30,520.8,519.52,-0.246,0
sequential,1,399.2,386.54,-3.171,0
sequential,2,385.19,383.9,-0.335,0
sequential,3,385.8,393.02,1.871,0
sequential,4,395.78,397.24,0.369,0
sequential,5,392.45,390.45,-0.51,0
sequential,6,406.51,384.42,-5.434,0
sequential,7,390.89,390.24,-0.166,0
sequential,8,402.52,393.76,-2.176,0
sequential,9,382.73,383.56,0.217,0
sequential,10,384.38,409.47,6.527,0
sequential,11,410.07,393.68,-3.997,0
sequential,12,383.64,373.25,-2.708,0
sequential,13,386.97,385.44,-0.395,0
sequential,14,387.31,396.09,2.267,0
sequential,15,392.38,384.69,-1.96,0
sequential,16,390.77,435.65,11.485,0
sequential,17,390.97,392.05,0.276,0
sequential,18,391.3,395.91,1.178,0
sequential,19,422.98,383.96,-9.225,0
