cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
286342,"cpu",0,1,581.836407,581.768858,0.059363,0,0
286516,"cpu",0,2,545.449963,545.3759,0.033306,0,0
286820,"cpu",0,3,536.073871,536.023005,0.025348,0,0
287124,"cpu",0,4,545.305548,545.216583,0.032589,0,0
287298,"cpu",0,5,552.153997,552.073686,0.038514,0,0
287602,"cpu",0,6,568.74036,568.660589,0.034857,0,0
287776,"cpu",0,7,549.655158,549.572502,0.029596,0,0
288080,"cpu",0,8,555.161946,555.040195,0.038765,0,0
288254,"cpu",0,9,557.354555,557.308408,0.041287,0,0
288558,"cpu",0,10,551.91681,551.818814,0.081535,0,0
288732,"cpu",0,11,540.562889,540.530026,0.032863,0,0
289036,"cpu",0,12,556.258489,556.188628,0.03736,0,0
289340,"cpu",0,13,539.096393,539.017025,0.048802,0,0
289514,"cpu",0,14,544.734777,544.632483,0.095822,0,0
289818,"cpu",0,15,552.817512,552.764845,0.044712,0,0
289992,"cpu",0,16,557.632599,557.59127,0.023255,0,0
290296,"cpu",0,17,540.093734,540.043941,0.049793,0,0
290470,"cpu",0,18,578.446786,578.404887,0.041899,0,0
290774,"cpu",0,19,564.988939,564.907885,0.081054,0,0
290948,"cpu",0,20,568.686976,568.632284,0.054692,0,0
291252,"cpu",0,21,541.517222,541.473942,0.04328,0,0
291426,"cpu",0,22,569.844958,569.795484,0.049474,0,0
291730,"cpu",0,23,541.505916,541.464901,0.041015,0,0
292034,"cpu",0,24,567.124082,567.074861,0.049221,0,0
292295,"cpu",0,25,560.640126,560.574743,0.055424,0,0
292599,"cpu",0,26,582.122871,582.076232,0.040107,0,0
292773,"cpu",0,27,528.610312,528.547392,0.059333,0,0
293077,"cpu",0,28,562.819913,562.70183,0.073729,0,0
293251,"cpu",0,29,549.724512,549.636727,0.041237,0,0
293555,"cpu",0,30,543.074433,542.99844,0.033122,0,0
293946,"cpu",1,1,824.621659,561.073422,263.548237,0,0
294207,"cpu",1,2,853.079675,555.366397,297.68771,0,0
294598,"cpu",1,3,824.774294,560.657814,264.11648,0,0
294859,"cpu",1,4,855.443727,572.771951,282.671776,0,0
295250,"cpu",1,5,801.032728,540.971453,260.061275,0,0
295641,"cpu",1,6,839.587939,587.507119,252.08082,0,0
295902,"cpu",1,7,805.128391,541.103036,264.025355,0,0
296293,"cpu",1,8,795.135159,544.279687,250.855472,0,0
296554,"cpu",1,9,833.600753,557.961802,275.638951,0,0
296945,"cpu",1,10,834.259708,553.483473,280.746399,0,0
297336,"cpu",1,11,852.372394,571.643718,280.728676,0,0
297597,"cpu",1,12,945.994934,668.399821,277.595113,0,0
297988,"cpu",1,13,832.651819,569.961349,262.69047,0,0
298249,"cpu",1,14,810.530163,557.694557,252.835606,0,0
298640,"cpu",1,15,816.204913,559.426495,256.770864,0,0
299031,"cpu",1,16,844.081429,573.770231,270.284458,0,0
299292,"cpu",1,17,840.233974,553.366201,286.853286,0,0
299683,"cpu",1,18,834.113819,558.235172,275.861795,0,0
299944,"cpu",1,19,814.379598,545.653617,268.717465,0,0
300335,"cpu",1,20,836.039059,562.536859,273.482853,0,0
300726,"cpu",1,21,806.544464,544.210418,262.319318,0,0
300987,"cpu",1,22,818.9586,545.743739,273.214861,0,0
301378,"cpu",1,23,827.760537,560.593613,267.166924,0,0
301639,"cpu",1,24,811.228362,557.815391,253.412971,0,0
302030,"cpu",1,25,810.719341,554.373399,256.345942,0,0
302291,"cpu",1,26,874.85501,617.656329,257.198681,0,0
302682,"cpu",1,27,842.172162,565.346638,276.825524,0,0
303073,"cpu",1,28,826.442154,561.119187,265.322967,0,0
303334,"cpu",1,29,846.581587,564.387822,282.193765,0,0
303725,"cpu",1,30,834.475329,579.25521,255.220119,0,0
304247,"cpu",3,1,1398.777888,562.338065,836.439823,0,0
304862,"cpu",3,2,1381.765171,567.90888,813.83987,0,0
305427,"cpu",3,3,1585.766337,756.296628,829.469709,0,0
305862,"cpu",3,4,1372.761303,566.289659,806.471644,0,0
306514,"cpu",3,5,1405.464191,582.439827,823.024364,0,0
307079,"cpu",3,6,1349.768813,571.199614,778.569199,0,0
307514,"cpu",3,7,1434.796571,597.763462,837.001369,0,0
308079,"cpu",3,8,1393.773708,551.977515,841.796193,0,0
308514,"cpu",3,9,1448.782629,589.265537,859.517092,0,0
