victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
float,1000000,solo,1,401.267636,401.228191,0.039445
float,1000000,stress,1,742.752561,393.804874,348.947687
float,1000000,solo,2,413.374283,413.342564,0.031719
float,1000000,stress,2,802.749782,400.547394,402.202388
float,1000000,solo,3,410.430406,410.380002,0.050404
float,1000000,stress,3,807.779774,424.531907,383.247867
float,1000000,solo,4,391.929035,391.895633,0.033402
float,1000000,stress,4,782.690376,432.03577,350.654606
float,1000000,solo,5,407.686507,407.665057,0.02145
float,1000000,stress,5,750.795502,403.833368,346.962134
float,1000000,solo,6,399.416183,399.377821,0.038362
float,1000000,stress,6,831.801631,412.055955,419.745676
float,1000000,solo,7,407.31928,407.274737,0.044543
float,1000000,stress,7,768.780464,410.229623,358.550841
float,1000000,solo,8,396.702441,396.422415,0.280026
float,1000000,stress,8,811.782756,438.663482,373.119274
float,1000000,solo,9,412.941209,412.908968,0.032241
float,1000000,stress,9,765.78952,416.443753,349.328114
float,1000000,solo,10,399.959169,399.923201,0.035968
float,1000000,stress,10,751.004021,403.024082,347.979939
float,1000000,solo,11,401.406886,401.363556,0.04333
float,1000000,stress,11,780.941694,419.855448,361.086246
float,1000000,solo,12,410.191494,410.149105,0.032481
float,1000000,stress,12,748.758643,414.792589,333.966054
float,1000000,solo,13,396.960968,396.93041,0.030558
float,1000000,stress,13,744.927573,395.101129,349.826444
float,1000000,solo,14,404.144933,404.109547,0.035386
float,1000000,stress,14,812.766335,432.994175,379.77216
float,1000000,solo,15,396.500821,396.470124,0.030697
float,1000000,stress,15,770.211116,391.838318,378.372798
float,1000000,solo,16,417.45411,417.367406,0.086704
float,1000000,stress,16,763.700764,391.680737,372.020027
float,1000000,solo,17,406.369231,406.332874,0.036357
float,1000000,stress,17,747.766486,387.090671,360.675815
float,1000000,solo,18,400.18003,400.134235,0.045795
float,1000000,stress,18,748.781899,395.15902,353.622879
float,1000000,solo,19,405.967276,405.940637,0.026639
float,1000000,stress,19,869.768899,396.703619,473.06528
float,1000000,solo,20,401.822502,401.792124,0.030378
float,1000000,stress,20,731.76642,401.670963,330.095457
float,2000000,solo,1,459.801619,459.760931,0.040688
float,2000000,stress,1,1107.794074,500.416316,607.377758
float,2000000,solo,2,485.886654,485.846079,0.040575
float,2000000,stress,2,1155.779997,534.399691,621.380306
float,2000000,solo,3,485.922998,485.88666,0.036338
float,2000000,stress,3,1117.788329,505.284151,612.504178
float,2000000,solo,4,477.979914,477.905242,0.074672
float,2000000,stress,4,1186.792315,537.165536,649.626779
float,2000000,solo,5,489.472247,489.44134,0.030907
float,2000000,stress,5,1103.791977,496.927019,606.864958
float,2000000,solo,6,484.955913,484.907192,0.048721
float,2000000,stress,6,1061.185917,488.600924,572.584993
float,2000000,solo,7,479.8981,479.866371,0.031729
float,2000000,stress,7,1082.773092,481.373142,601.39995
float,2000000,solo,8,495.458299,495.425827,0.032472
float,2000000,stress,8,1105.758226,519.184424,586.573802
float,2000000,solo,9,486.454942,486.419074,0.035868
float,2000000,stress,9,1054.770076,480.305972,574.464104
float,2000000,solo,10,491.940922,491.915294,0.025628
float,2000000,stress,10,1076.783484,490.934791,585.848693
float,2000000,solo,11,478.383204,478.337739,0.045465
float,2000000,stress,11,1180.875025,490.171024,690.704001
float,2000000,solo,12,472.36226,472.320472,0.041788
float,2000000,stress,12,1100.722615,485.417651,615.304964
float,2000000,solo,13,493.942165,493.913832,0.028333
float,2000000,stress,13,1116.777489,521.678185,595.099304
float,2000000,solo,14,478.923579,478.89084,0.032739
float,2000000,stress,14,1141.799086,513.061009,628.738077
float,2000000,solo,15,484.050524,484.011019,0.039505
float,2000000,stress,15,1094.792101,475.821027,618.971074
float,2000000,solo,16,476.191732,476.142951,0.048781
float,2000000,stress,16,1070.549173,508.015527,562.533646
float,2000000,solo,17,485.206603,485.16355,0.043053
float,2000000,stress,17,1137.805198,505.453917,632.351281
float,2000000,solo,18,477.499186,477.451876,0.04731
float,2000000,stress,18,1088.765539,495.543059,593.22248
float,2000000,solo,19,482.670785,482.641009,0.029776
float,2000000,stress,19,1122.773418,495.967226,626.806192
float,2000000,solo,20,494.411526,494.373825,0.037701
float,2000000,stress,20,1181.80828,515.027471,666.780809
float,4000000,solo,1,629.425366,629.382325,0.043041
float,4000000,stress,1,1721.797821,670.835468,1050.962353
float,4000000,solo,2,604.667555,604.628439,0.039116
float,4000000,stress,2,1707.803668,621.514544,1086.289124
float,4000000,solo,3,635.85659,635.824748,0.031842
float,4000000,stress,3,1733.590712,704.023384,1029.567328
float,4000000,solo,4,626.546278,626.490555,0.036056
float,4000000,stress,4,1840.941358,671.67057,1169.249237
float,4000000,solo,5,627.02808,626.952599,0.052437
float,4000000,stress,5,1665.794369,636.067121,1029.727248
float,4000000,solo,6,665.835191,665.79221,0.028464
float,4000000,stress,6,1774.774642,677.235093,1097.535191
float,4000000,solo,7,636.268833,636.210571,0.034987
float,4000000,stress,7,1675.776987,671.542471,1004.234516
float,4000000,solo,8,661.395561,661.364211,0.03135
float,4000000,stress,8,1715.794761,641.324088,1074.470673
float,4000000,solo,9,627.365553,627.298158,0.049001
float,4000000,stress,9,1721.794423,682.074988,1039.689089
float,4000000,solo,10,628.194881,628.152542,0.032901
float,4000000,stress,10,1647.577642,639.273639,1008.299404
float,4000000,solo,11,625.395079,625.365383,0.029696
float,4000000,stress,11,1754.783174,660.79042,1093.992754
float,4000000,solo,12,624.568251,624.530812,0.037439
float,4000000,stress,12,1696.773132,658.614882,1038.15825
float,4000000,solo,13,660.167059,660.133906,0.033153
float,4000000,stress,13,1697.783509,650.070889,1047.71262
float,4000000,solo,14,650.509623,650.450082,0.059541
float,4000000,stress,14,1672.792672,635.742654,1037.033647
float,4000000,solo,15,618.429333,618.374549,0.054784
float,4000000,stress,15,1743.793161,691.719683,1052.073478
