victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
"face",1,"solo",1,349.727706,349.693203,0.034503
"face",1,"stress",1,616.74676,392.007826,224.738934
"face",1,"solo",2,2918.993912,2918.98235,0
"face",1,"stress",2,625.807177,366.942733,258.864444
"face",1,"solo",3,2892.0084,2891.968525,0
"face",1,"stress",3,627.969342,362.537754,265.425406
"face",1,"solo",4,366.376502,366.296933,0.038862
"face",1,"stress",4,562.819204,350.009869,212.778407
"face",1,"solo",5,353.30442,353.005909,0.274846
"face",1,"stress",5,611.739295,365.915318,245.771367
"face",1,"solo",6,374.404274,374.349301,0.045736
"face",1,"stress",6,557.80041,364.045375,193.755035
"face",1,"solo",7,445.857656,445.808846,0.042238
"face",1,"stress",7,629.811776,374.254796,255.55698
"face",1,"solo",8,386.083919,385.988029,0.09589
"face",1,"stress",8,661.759572,380.689761,281.069811
"face",1,"solo",9,2907.002363,2906.973599,0
"face",1,"stress",9,627.829011,394.222753,233.606258
"face",1,"solo",10,2908.011479,2907.97986,0
"face",1,"stress",10,609.637878,371.18247,238.455408
"face",1,"solo",11,2907.016881,2907.012002,0
"face",1,"stress",11,602.797137,377.133709,225.641948
"face",1,"solo",12,2918.992906,2918.985392,0
"face",1,"stress",12,695.763714,430.856901,264.906813
"face",1,"solo",13,339.144304,339.098476,0.045828
"face",1,"stress",13,657.814673,394.945192,262.843592
"face",1,"solo",14,2928.999197,2928.969492,0
"face",1,"stress",14,663.795215,404.978891,258.793591
"face",1,"solo",15,2864.003498,2864.000272,0
"face",1,"stress",15,698.783232,391.488694,307.294538
"face",1,"solo",16,2884.990386,2884.990386,0
"face",1,"stress",16,644.825709,348.990725,295.834984
"face",1,"solo",17,377.033714,376.996344,0.03737
"face",1,"stress",17,617.774386,364.059117,253.715269
"face",1,"solo",18,373.0394,373.00236,0.03704
"face",1,"stress",18,718.748898,390.300418,328.44848
"face",1,"solo",19,2839.001535,2839.001535,0
"face",1,"stress",19,644.81435,369.381246,275.433104
"face",1,"solo",20,2926.990642,2926.990642,0
"face",1,"stress",20,667.578144,377.635547,289.942597
"face",5,"solo",1,479.68393,479.645215,0.038715
"face",5,"stress",1,1033.791767,511.399452,522.392315
"face",5,"solo",2,475.321686,475.288783,0.032903
"face",5,"stress",2,1061.821677,473.581426,588.240251
"face",5,"solo",3,465.527217,465.482413,0.044804
"face",5,"stress",3,1016.803487,481.142463,535.661024
"face",5,"solo",4,473.734669,473.70726,0.027409
"face",5,"stress",4,1021.7613,477.383651,544.377649
"face",5,"solo",5,451.250134,451.187728,0.03274
"face",5,"stress",5,1068.745822,529.745338,538.996577
"face",5,"solo",6,481.574524,481.528598,0.036418
"face",5,"stress",6,1128.778027,482.755482,646.020962
"face",5,"solo",7,477.7294,477.666642,0.045235
"face",5,"stress",7,1075.565356,478.035604,597.529752
"face",5,"solo",8,479.212381,479.167635,0.036821
"face",5,"stress",8,1118.788285,544.776225,573.991421
"face",5,"solo",9,485.95159,485.922503,0.029087
"face",5,"stress",9,1033.843212,479.6908,554.13513
"face",5,"solo",10,472.525052,472.284994,0.23077
"face",5,"stress",10,1058.814757,493.353596,565.461161
"face",5,"solo",11,466.281664,466.014142,0.250119
"face",5,"stress",11,1031.632613,483.078382,548.540044
"face",5,"solo",12,468.390078,468.352218,0.03786
"face",5,"stress",12,1045.798126,490.699716,555.09841
"face",5,"solo",13,471.138295,471.108277,0.030018
"face",5,"stress",13,1048.810654,481.379589,567.431065
"face",5,"solo",14,450.763306,450.725303,0.038003
"face",5,"stress",14,1102.846359,483.25028,619.596079
"face",5,"solo",15,474.186838,474.012381,0.174457
"face",5,"stress",15,1098.803037,498.022584,600.744095
"face",5,"solo",16,460.925449,460.881286,0.044163
"face",5,"stress",16,1112.811815,480.306767,632.505048
"face",5,"solo",17,463.677461,463.604751,0.07271
"face",5,"stress",17,1008.797971,493.764044,515.033927
"face",5,"solo",18,476.611675,476.577398,0.034277
"face",5,"stress",18,1079.820979,491.99708,587.823899
"face",5,"solo",19,460.786059,460.746744,0.039315
"face",5,"stress",19,973.829688,464.820494,509.009194
"face",5,"solo",20,470.855294,470.819937,0.035357
"face",5,"stress",20,1006.826487,468.281068,538.545419
"face",10,"solo",1,609.983276,609.949233,0.034043
"face",10,"stress",1,1541.787388,623.777124,918.010264
"face",10,"solo",2,567.447887,567.419684,0.028203
"face",10,"stress",2,1623.758535,627.705933,996.052602
"face",10,"solo",3,598.274612,598.243593,0.031019
"face",10,"stress",3,1555.800059,602.333705,953.466354
"face",10,"solo",4,619.142523,619.105011,0.037512
"face",10,"stress",4,1582.640204,630.384081,952.256123
"face",10,"solo",5,642.016518,641.983265,0.033253
"face",10,"stress",5,1569.83679,628.344558,941.492232
"face",10,"solo",6,616.525936,616.487655,0.038281
"face",10,"stress",6,1623.000619,648.032221,974.968398
"face",10,"solo",7,607.772924,607.732108,0.040816
"face",10,"stress",7,1587.781877,627.886732,959.895145
"face",10,"solo",8,583.249061,583.209713,0.039348
"face",10,"stress",8,1610.780676,651.447523,959.333153
"face",10,"solo",9,584.687799,584.651522,0.036277
"face",10,"stress",9,1548.456133,649.446722,899.009411
"face",10,"solo",10,625.939672,625.787626,0.152046
"face",10,"stress",10,1602.825382,615.385628,987.439754
"face",10,"solo",11,600.530173,600.504175,0.025998
"face",10,"stress",11,1600.812575,625.937027,974.875548
"face",10,"solo",12,601.094241,601.056079,0.038162
"face",10,"stress",12,1563.792493,608.798141,954.994352
"face",10,"solo",13,591.132351,591.080576,0.051775
"face",10,"stress",13,1586.809178,604.760124,982.049054
"face",10,"solo",14,606.764188,606.724607,0.039581
"face",10,"stress",14,1601.820641,641.194084,960.626557
"face",10,"solo",15,613.539837,613.507617,0.03222
"face",10,"stress",15,1586.848779,590.388287,996.460492
"face",10,"solo",16,600.241341,599.892727,0.348614
"face",10,"stress",16,1580.830591,637.319147,943.511444
