cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
681810,"network",0,1,3138.36572,3114.782457,0.168847,23.156274,0
681984,"network",0,2,3104.002131,3103.798689,0.131485,0,0
682201,"network",0,3,3103.441694,3103.264638,0.149155,0,0
682418,"network",0,4,3061.959646,3055.440798,0.139823,6.295949,0
682505,"network",0,5,3099.420591,3099.286746,0.093702,0,0
682722,"network",0,6,3098.908915,3093.942146,0.116077,4.761835,0
682939,"network",0,7,3084.980416,3072.231275,0.120157,12.599276,0
683026,"network",0,8,3091.572906,3091.425718,0.139715,0,0
683243,"network",0,9,3095.342071,3095.167374,0.139091,0,0
683330,"network",0,10,3108.713943,3092.350552,0.134527,16.177087,0
683547,"network",0,11,3096.177024,3096.027636,0.132897,0,0
683764,"network",0,12,3086.983578,3086.850508,0.104396,0,0
683851,"network",0,13,3135.324336,3125.965515,0.150683,9.04998,0
684068,"network",0,14,3088.920572,3079.876651,0.11578,8.892695,0
684285,"network",0,15,3184.819842,3178.272395,0.111879,6.176652,0
684372,"network",0,16,3062.677105,3043.039195,0.108776,19.506762,0
684589,"network",0,17,3072.59255,3064.817725,0.130598,7.611445,0
684806,"network",0,18,3099.851984,3099.692968,0.139209,0,0
684893,"network",0,19,3096.570733,3096.421358,0.123887,0,0
685110,"network",0,20,3080.416932,3080.263608,0.107149,0,0
685327,"network",0,21,3091.590478,3091.416485,0.133217,0,0
685414,"network",0,22,3140.190435,3129.684173,0.172907,10.325931,0
685631,"network",0,23,3080.95777,3068.522704,0.140643,12.282441,0
685848,"network",0,24,3104.778037,3104.603208,0.134271,0,0
685935,"network",0,25,3093.26803,3091.162898,0.144402,1.917137,0
686152,"network",0,26,3087.758898,3087.586175,0.115905,0,0
686326,"network",0,27,3103.186123,3103.028908,0.128471,0,0
686543,"network",0,28,3105.141807,3104.984101,0.120575,0,0
686760,"network",0,29,3107.798656,3102.289006,0.115369,5.362852,0
686847,"network",0,30,3111.074673,3107.245617,0.110067,3.686147,0
687169,"network",1,1,5757.386085,4490.081001,0.141746,1259.844741,0
687491,"network",1,2,5714.378853,4337.58734,0.141674,1368.851184,0
687813,"network",1,3,5720.277274,4226.643263,0.109194,1486.756825,0
688135,"network",1,4,6037.938791,4525.330753,0.158498,1504.759547,0
688457,"network",1,5,5730.06063,4135.375009,0.126497,1588.167567,0.009448
688649,"network",1,6,5721.157651,4156.551062,0.125996,1558.02172,0.008035
689058,"network",1,7,5713.234804,4283.403991,0.161232,1422.976427,0
689380,"network",1,8,5851.736839,4313.362279,0.115866,1531.661502,0
689702,"network",1,9,5730.196231,4270.756678,0.120518,1452.626578,0.013686
690024,"network",1,10,5727.93236,3919.213818,0.12943,1802.796941,0.009398
690346,"network",1,11,5741.892212,3865.494468,0.182384,1870.227565,0
690668,"network",1,12,5975.307574,4658.19407,0.137541,1309.521884,0
690990,"network",1,13,5733.355618,4063.102076,0.163184,1663.615061,0.009507
691182,"network",1,14,5721.389553,4418.475941,0.092615,1296.014126,0
691504,"network",1,15,5717.459964,4433.989289,0.113832,1276.402545,0
691826,"network",1,16,6033.135573,4482.315983,0.12252,1543.446518,0
692148,"network",1,17,5710.482712,4476.904285,0.119323,1226.579525,0
692470,"network",1,18,5724.719175,4520.379028,0.121618,1197.070535,0.01568
692792,"network",1,19,6080.384978,5025.564547,0.140208,1047.751019,0
693114,"network",1,20,5743.513754,4440.524846,0.118793,1295.705579,0
693306,"network",1,21,5799.94232,4537.970976,0.106521,1254.497037,0
693628,"network",1,22,5739.320357,4480.995768,0.168214,1251.148369,0
693950,"network",1,23,5751.957818,4453.635394,0.127257,1291.497096,0.017242
694272,"network",1,24,5752.144551,4381.915188,0.122672,1362.99152,0.009989
694594,"network",1,25,5737.635681,4422.963847,0.132532,1307.700424,0
694916,"network",1,26,5725.557212,4318.230453,0.123123,1400.234023,0.008707
695238,"network",1,27,5796.86787,4304.658521,0.101883,1485.20427,0
695430,"network",1,28,5768.303178,4246.821548,0.14376,1514.57271,0
695752,"network",1,29,5644.772093,4448.986071,0.106874,1189.235789,0
696074,"network",1,30,5829.610215,4492.725938,0.140201,1329.278903,0
696396,"network",4,1,13744.027173,4980.657932,0.1499,8747.538585,0
696935,"network",4,2,13612.681344,3385.673665,0.140296,10215.526344,0.013214
697344,"network",4,3,13602.486261,3220.436151,0.150335,10372.197523,0
697796,"network",4,4,13684.236551,3370.772997,0.181736,10303.499818,0
698118,"network",4,5,13859.409851,4895.513405,0.348565,8947.671719,0.014176
698570,"network",4,6,13609.872488,3391.622221,0.145696,10207.659384,0
699022,"network",4,7,13644.410057,4752.026714,0.12766,8877.465954,0.007524
699344,"network",4,8,13717.278318,4778.725397,0.104394,8922.992617,0.006933
699796,"network",4,9,13761.030451,3443.448521,0.094446,10307.194167,0.008025
700118,"network",4,10,13634.968088,3467.119576,0.127957,10156.990491,0.007734
700570,"network",4,11,13642.19619,5034.843965,0.128805,8591.956657,0
701022,"network",4,12,13892.330586,4967.766708,0.166697,8906.353487,0.014657
701344,"network",4,13,13637.612946,3667.669045,0.109466,9957.746519,0
701796,"network",4,14,13733.457625,4665.444366,0.139323,9052.608696,0.012824
702118,"network",4,15,13607.458954,4806.514316,0.142782,8785.196974,0
702570,"network",4,16,13644.094931,4498.325784,0.145285,9130.376928,0
703022,"network",4,17,13798.79004,4859.453262,0.134142,8922.707475,0.005019
703431,"network",4,18,13627.689796,4562.677544,0.148061,9050.228102,0
703883,"network",4,19,13780.719077,4255.308155,0.143769,9511.236323,0.014867
704205,"network",4,20,13659.160082,2947.423255,0.142792,10702.957772,0.010229
704657,"network",4,21,13693.74742,4834.829975,0.150505,8842.798267,0
705196,"network",4,22,13648.177258,4817.149836,0.151805,8815.50361,0.013045
