cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio
1487043,"network",0,1,6579.277479,6484.449838,0.223813,94.256169,0.024286
1487130,"network",0,2,6420.425597,6395.877801,0.197555,24.120105,0
1487217,"network",0,3,7205.119751,6691.282595,0.229353,510.2708,0
1487304,"network",0,4,6629.344984,6498.743278,0.202172,129.182116,0
1487391,"network",0,5,6373.909811,6318.362227,0.227535,55.064972,0
1487478,"network",0,6,7752.064137,7020.018284,0.187861,727.548304,0
1487565,"network",0,7,6396.190051,6291.731675,0.225594,103.288395,0
1487652,"network",0,8,6562.411508,6467.680218,0.18731,93.483808,0
1487739,"network",0,9,6384.610934,6353.088109,0.236375,30.528256,0
1487826,"network",0,10,6349.291789,6313.689217,0.218768,35.137948,0
1487913,"network",0,11,6404.450176,6386.311655,0.192231,17.720596,0
1488087,"network",0,12,6357.007978,6328.207723,0.120436,28.463942,0
1488174,"network",0,13,6373.85683,6339.302093,0.169106,34.135928,0
1488261,"network",0,14,6377.560822,6349.979486,0.183714,27.210493,0
1488348,"network",0,15,6379.192376,6358.154518,0.186676,20.613189,0
1488435,"network",0,16,6371.441244,6322.206871,0.165824,48.853581,0
1488522,"network",0,17,6379.807579,6379.400673,0.201055,0,0
1488609,"network",0,18,7406.958098,6922.620276,0.194592,481.880569,0
1488696,"network",0,19,6372.661965,6320.626686,0.177266,51.495343,0
1488783,"network",0,20,6391.036963,6360.817475,0.169123,29.794938,0
1488975,"network",2,1,18391.849536,9644.224613,0.190993,8726.30345,0
1489167,"network",2,2,18166.454737,9776.850185,0.396693,8369.443342,0
1489359,"network",2,3,18130.50187,9915.605652,0.320628,8195.326857,0
1489638,"network",2,4,18108.823298,10625.586352,0.204608,7462.445327,0
1489830,"network",2,5,18157.622349,9871.961441,0.177587,8264.826995,0
1490022,"network",2,6,18234.967208,9877.200331,0.249944,8335.388958,0
1490214,"network",2,7,18264.754583,9927.067026,0.203195,8316.492686,0.027401
1490406,"network",2,8,18254.007233,9768.312772,0.251273,8462.368813,0
1490598,"network",2,9,18117.013473,9939.34082,0.289987,8154.989805,0
1490790,"network",2,10,20088.837129,10583.875856,0.212664,9411.311663,0
1491069,"network",2,11,18251.949061,9521.641439,0.282675,8707.220016,0
1491261,"network",2,12,18206.390152,9985.88505,0.269044,8197.150172,0
1491540,"network",2,13,18219.833222,9736.239608,0.253884,8459.355606,0
1491732,"network",2,14,18991.052528,9646.57418,0.268209,9315.608494,0
1491924,"network",2,15,18171.243425,9062.389502,0.358153,9084.832775,0
1492116,"network",2,16,18191.967073,9853.741404,0.256757,8311.013976,0
1492308,"network",2,17,18260.308477,9887.869259,0.312425,8349.784055,0
1492500,"network",2,18,18176.748178,9661.64776,0.256877,8492.42677,0
1492779,"network",2,19,18296.456169,9814.813837,0.275447,8455.720714,0
1492971,"network",2,20,18189.335927,9645.077591,0.254827,8521.716357,0
1493163,"network",4,1,29947.313099,7786.487511,0.249305,22134.520181,0
1493355,"network",4,2,30086.756475,8021.525041,0.32847,22039.376029,0
1493547,"network",4,3,30173.140657,9291.802085,0.292662,20849.624164,0.046238
1493739,"network",4,4,30152.432611,8747.743878,0.322129,21377.785233,0
1493931,"network",4,5,30140.64104,9936.510738,0.25267,20173.473485,0
1494210,"network",4,6,30083.478602,7684.93112,0.266253,22375.063184,0
1494402,"network",4,7,30006.845249,9143.570118,0.286436,20833.814416,0
1494594,"network",4,8,30113.384922,8956.016417,0.350375,21131.097823,0.022872
1494786,"network",4,9,29888.581609,8597.350326,0.265344,21265.931404,0
1494978,"network",4,10,30098.472877,8534.208511,0.274065,21537.938005,0
1495170,"network",4,11,30020.082138,9576.749495,0.260363,20412.974674,0
1495362,"network",4,12,30057.847357,9232.094445,0.272855,20795.330289,0
1495728,"network",4,13,30152.021505,9470.057105,0.261903,20651.848761,0
1495920,"network",4,14,29969.42049,8876.489283,0.271388,21066.439463,0
1496112,"network",4,15,29950.351984,8913.500294,0.29657,21009.785198,0
1496304,"network",4,16,30111.676416,9163.198686,0.277243,20921.242684,0
1496496,"network",4,17,30115.194588,8749.186562,0.297533,21337.868529,0.027082
1496688,"network",4,18,30086.005538,8422.854341,0.329607,21637.511962,0
1496967,"network",4,19,30176.570504,8937.580784,0.350634,21208.167683,0
1497159,"network",4,20,30097.1504,8730.917984,0.306026,21340.534394,0
1497351,"network",8,1,53516.410205,14405.834101,0.354177,39052.062315,0.043352
1497543,"network",8,2,53929.781472,14412.51005,0.338977,39460.965271,0.025498
1497822,"network",8,3,53411.292884,15145.272761,0.327739,38203.598021,0.0362
1498101,"network",8,4,53524.365694,15235.704666,0.36495,38226.983814,0.017133
1498380,"network",8,5,53473.673715,14151.895994,0.380718,39264.476818,0
