timestamp,resource_type,container_count,iteration,cpu_percent,memory_mb,cpu_ratio_system,mem_ratio_system
1770307223.397057459,cpu,1,1,3.90,514.828,0.1625,0.5469
1770307224.421710017,cpu,1,1,0.98,514.828,0.0408,0.5469
1770307228.620367026,cpu,1,2,2.93,514.812,0.1221,0.5468
1770307229.644121579,cpu,1,2,0.00,514.812,0.0000,0.5468
1770307233.826145030,cpu,1,3,2.92,514.824,0.1217,0.5468
1770307234.850112449,cpu,1,3,0.00,514.824,0.0000,0.5468
1770307238.981497103,cpu,1,4,2.93,514.816,0.1221,0.5468
1770307240.005428585,cpu,1,4,0.98,514.816,0.0408,0.5468
1770307244.250311552,cpu,1,5,2.92,514.828,0.1217,0.5469
1770307245.274490422,cpu,1,5,0.00,514.828,0.0000,0.5469
1770307249.457354471,cpu,1,6,3.90,514.828,0.1625,0.5469
1770307250.482848164,cpu,1,6,2.92,514.828,0.1217,0.5469
1770307254.624194417,cpu,1,7,2.92,514.801,0.1217,0.5468
1770307255.648313562,cpu,1,7,0.00,514.801,0.0000,0.5468
1770307259.860102326,cpu,1,8,1.95,514.82,0.0813,0.5468
1770307260.885523535,cpu,1,8,1.95,514.82,0.0813,0.5468
1770307265.126625772,cpu,1,9,1.95,514.809,0.0813,0.5468
1770307266.150950082,cpu,1,9,0.98,514.809,0.0408,0.5468
1770307270.324581290,cpu,1,10,1.95,514.797,0.0813,0.5468
1770307271.349809402,cpu,1,10,0.00,514.797,0.0000,0.5468
1770307275.540525490,cpu,1,11,3.90,514.809,0.1625,0.5468
1770307276.566129658,cpu,1,11,0.00,514.809,0.0000,0.5468
1770307280.907934394,cpu,1,12,2.93,514.801,0.1221,0.5468
1770307281.931579138,cpu,1,12,0.00,514.801,0.0000,0.5468
1770307286.105679454,cpu,1,13,1.95,514.82,0.0813,0.5468
1770307287.130287818,cpu,1,13,0.00,514.82,0.0000,0.5468
1770307291.302138082,cpu,1,14,1.95,514.832,0.0813,0.5469
1770307292.327409996,cpu,1,14,0.98,514.832,0.0408,0.5469
1770307296.487590144,cpu,1,15,1.95,514.828,0.0813,0.5469
1770307297.512867402,cpu,1,15,0.98,514.828,0.0408,0.5469
1770307301.606990305,cpu,1,16,2.93,514.816,0.1221,0.5468
1770307302.631553120,cpu,1,16,0.00,514.816,0.0000,0.5468
1770307306.812288938,cpu,1,17,1.95,514.801,0.0813,0.5468
1770307307.836616570,cpu,1,17,0.00,514.801,0.0000,0.5468
1770307311.959826316,cpu,1,18,1.95,514.828,0.0813,0.5469
1770307312.984470373,cpu,1,18,0.98,514.828,0.0408,0.5469
1770307317.217379505,cpu,1,19,2.93,514.773,0.1221,0.5468
1770307318.243087082,cpu,1,19,0.00,514.773,0.0000,0.5468
1770307322.423744465,cpu,1,20,2.93,514.824,0.1221,0.5468
1770307323.448281486,cpu,1,20,0.00,514.824,0.0000,0.5468
1770307327.680809496,cpu,1,21,1.95,514.805,0.0813,0.5468
1770307328.706452996,cpu,1,21,0.00,514.805,0.0000,0.5468
1770307332.867833184,cpu,1,22,2.93,514.832,0.1221,0.5469
1770307333.892138041,cpu,1,22,0.00,514.832,0.0000,0.5469
1770307338.225046716,cpu,1,23,2.93,514.828,0.1221,0.5469
1770307339.249712345,cpu,1,23,0.00,514.828,0.0000,0.5469
1770307343.381276770,cpu,1,24,1.95,514.805,0.0813,0.5468
1770307344.405631819,cpu,1,24,0.00,514.805,0.0000,0.5468
1770307348.649410924,cpu,1,25,2.92,514.82,0.1217,0.5468
1770307349.675441279,cpu,1,25,0.00,514.82,0.0000,0.5468
1770307353.804965113,cpu,1,26,1.95,514.82,0.0813,0.5468
1770307354.830685549,cpu,1,26,0.98,514.82,0.0408,0.5468
1770307359.012431745,cpu,1,27,1.95,514.805,0.0813,0.5468
1770307360.037016898,cpu,1,27,0.00,514.805,0.0000,0.5468
1770307364.388124639,cpu,1,28,1.95,514.801,0.0813,0.5468
1770307365.413079550,cpu,1,28,0.00,514.801,0.0000,0.5468
1770307369.484537237,cpu,1,29,2.92,514.82,0.1217,0.5468
1770307370.510013417,cpu,1,29,0.00,514.82,0.0000,0.5468
1770307374.640206354,cpu,1,30,2.92,514.828,0.1217,0.5469
1770307375.665309735,cpu,1,30,0.00,514.828,0.0000,0.5469
1770307379.877745985,cpu,2,1,3.90,514.828,0.1625,0.5469
1770307380.903181294,cpu,2,1,1.95,514.828,0.0813,0.5469
1770307381.928395044,cpu,2,1,0.00,514.828,0.0000,0.5469
1770307382.952264858,cpu,2,1,0.98,514.828,0.0408,0.5469
1770307387.280618097,cpu,2,2,3.90,514.785,0.1625,0.5468
1770307388.305208162,cpu,2,2,1.95,514.785,0.0813,0.5468
1770307389.328851343,cpu,2,2,0.00,514.785,0.0000,0.5468
1770307390.350346910,cpu,2,2,0.00,514.785,0.0000,0.5468
1770307394.818800509,cpu,2,3,3.90,514.809,0.1625,0.5468
1770307395.843500726,cpu,2,3,0.98,514.809,0.0408,0.5468
1770307396.868479039,cpu,2,3,0.00,514.809,0.0000,0.5468
1770307397.892542049,cpu,2,3,0.98,514.809,0.0408,0.5468
1770307402.391729021,cpu,2,4,3.90,514.816,0.1625,0.5468
1770307403.417439282,cpu,2,4,1.95,514.816,0.0813,0.5468
1770307404.441365475,cpu,2,4,0.00,514.816,0.0000,0.5468
1770307405.464749254,cpu,2,4,0.00,514.816,0.0000,0.5468
1770307409.837342647,cpu,2,5,4.88,514.809,0.2033,0.5468
1770307410.863129911,cpu,2,5,0.00,514.809,0.0000,0.5468
1770307411.887467657,cpu,2,5,0.98,514.809,0.0408,0.5468
1770307412.910230615,cpu,2,5,0.98,514.809,0.0408,0.5468
1770307417.443178018,cpu,2,6,2.93,514.812,0.1221,0.5468
1770307418.468406134,cpu,2,6,1.95,514.812,0.0813,0.5468
1770307419.493224616,cpu,2,6,0.00,514.812,0.0000,0.5468
1770307420.516315566,cpu,2,6,1.95,514.812,0.0813,0.5468
1770307425.010224795,cpu,2,7,4.87,514.824,0.2029,0.5468
1770307426.036064413,cpu,2,7,0.00,514.824,0.0000,0.5468
1770307427.060767983,cpu,2,7,0.98,514.824,0.0408,0.5468
1770307428.085327908,cpu,2,7,1.95,514.824,0.0813,0.5468
1770307432.435255366,cpu,2,8,3.90,514.809,0.1625,0.5468
1770307433.459411470,cpu,2,8,0.98,514.809,0.0408,0.5468
1770307434.484115138,cpu,2,8,0.00,514.809,0.0000,0.5468
1770307435.507925553,cpu,2,8,0.98,514.809,0.0408,0.5468
1770307440.019634881,cpu,2,9,3.90,514.832,0.1625,0.5469
1770307441.046634317,cpu,2,9,0.97,514.832,0.0404,0.5469
1770307442.071445186,cpu,2,9,0.00,514.832,0.0000,0.5469
1770307443.093962605,cpu,2,9,0.98,514.832,0.0408,0.5469
1770307447.616875070,cpu,2,10,3.90,514.805,0.1625,0.5468
1770307448.642608111,cpu,2,10,1.95,514.805,0.0813,0.5468
1770307449.667939486,cpu,2,10,0.00,514.805,0.0000,0.5468
1770307450.690661809,cpu,2,10,0.98,514.805,0.0408,0.5468
1770307455.042826299,cpu,2,11,4.87,514.828,0.2029,0.5469
1770307456.068691420,cpu,2,11,0.00,514.828,0.0000,0.5469
1770307457.093367282,cpu,2,11,0.00,514.828,0.0000,0.5469
1770307458.116779307,cpu,2,11,0.98,514.828,0.0408,0.5469
1770307462.478031757,cpu,2,12,3.90,514.824,0.1625,0.5468
1770307463.502899665,cpu,2,12,0.98,514.824,0.0408,0.5468
1770307464.525784068,cpu,2,12,0.98,514.824,0.0408,0.5468
1770307465.547931555,cpu,2,12,0.00,514.824,0.0000,0.5468
1770307470.034733577,cpu,2,13,3.90,514.793,0.1625,0.5468
