cgroup_id,resource_type,container_count,iteration,t_e2e_ms,with_puretime
108474,cpu,1,1,2274,false
108648,cpu,1,1,2344,true
108735,cpu,1,2,2291,false
108909,cpu,1,2,2325,true
109083,cpu,1,3,2329,false
109257,cpu,1,3,2330,true
109344,cpu,1,4,2332,false
109518,cpu,1,4,2370,true
109605,cpu,1,5,2278,false
109779,cpu,1,5,2299,true
109866,cpu,1,6,2356,false
110040,cpu,1,6,2299,true
110127,cpu,1,7,2256,false
110301,cpu,1,7,2298,true
110388,cpu,1,8,2299,false
110562,cpu,1,8,2312,true
110649,cpu,1,9,2278,false
110823,cpu,1,9,2276,true
110910,cpu,1,10,2303,false
111084,cpu,1,10,2324,true
111171,cpu,5,1,6141,false
111345,cpu,5,1,7218,false
111432,cpu,5,1,8926,false
111519,cpu,5,1,9413,false
111606,cpu,5,1,8117,false
111780,cpu,5,1,6136,true
111867,cpu,5,1,7461,true
111954,cpu,5,1,7395,true
112041,cpu,5,1,9203,true
112128,cpu,5,1,7728,true
112302,cpu,5,2,10447,false
112389,cpu,5,2,7447,false
112476,cpu,5,2,7949,false
112563,cpu,5,2,9342,false
112737,cpu,5,2,7641,false
112824,cpu,5,2,5578,true
112998,cpu,5,2,9619,true
113085,cpu,5,2,7187,true
113172,cpu,5,2,7087,true
113259,cpu,5,2,8466,true
113433,cpu,5,3,11358,false
113520,cpu,5,3,7928,false
113607,cpu,5,3,8667,false
113694,cpu,5,3,8790,false
113781,cpu,5,3,8365,false
113955,cpu,5,3,6001,true
114042,cpu,5,3,7287,true
114129,cpu,5,3,9845,true
114216,cpu,5,3,9321,true
114303,cpu,5,3,6818,true
114477,cpu,5,4,10006,false
114564,cpu,5,4,7287,false
114651,cpu,5,4,7685,false
114825,cpu,5,4,9209,false
114912,cpu,5,4,7327,false
114999,cpu,5,4,11367,true
115173,cpu,5,4,9814,true
115260,cpu,5,4,7713,true
115347,cpu,5,4,8087,true
115434,cpu,5,4,7849,true
115608,cpu,5,5,5859,false
115695,cpu,5,5,6927,false
115782,cpu,5,5,10027,false
115869,cpu,5,5,8678,false
115956,cpu,5,5,6448,false
116130,cpu,5,5,9877,true
116217,cpu,5,5,6465,true
116304,cpu,5,5,10092,true
116391,cpu,5,5,9109,true
116565,cpu,5,5,7156,true
116652,cpu,5,6,10220,false
116826,cpu,5,6,9938,false
116913,cpu,5,6,7420,false
117000,cpu,5,6,9425,false
117087,cpu,5,6,7615,false
117261,cpu,5,6,6953,true
117348,cpu,5,6,8401,true
117435,cpu,5,6,8512,true
117522,cpu,5,6,8224,true
117609,cpu,5,6,8655,true
117783,cpu,5,7,9809,false
117870,cpu,5,7,10663,false
117957,cpu,5,7,8363,false
118044,cpu,5,7,8567,false
118131,cpu,5,7,8244,false
118305,cpu,5,7,8902,true
118392,cpu,5,7,6540,true
118479,cpu,5,7,6758,true
118566,cpu,5,7,8193,true
118653,cpu,5,7,8608,true
118827,cpu,5,8,6752,false
118914,cpu,5,8,8156,false
119001,cpu,5,8,8162,false
119088,cpu,5,8,9279,false
119175,cpu,5,8,7422,false
119349,cpu,5,8,9461,true
119436,cpu,5,8,10182,true
119523,cpu,5,8,7116,true
119610,cpu,5,8,9343,true
119697,cpu,5,8,7287,true
119871,cpu,5,9,5765,false
120045,cpu,5,9,10489,false
120132,cpu,5,9,10088,false
120219,cpu,5,9,8198,false
120306,cpu,5,9,7960,false
120567,cpu,5,9,11327,true
120654,cpu,5,9,5787,true
120741,cpu,5,9,9584,true
120828,cpu,5,9,9199,true
120915,cpu,5,9,6330,true
121089,cpu,5,10,7603,false
121176,cpu,5,10,9802,false
121263,cpu,5,10,9896,false
121350,cpu,5,10,9399,false
121524,cpu,5,10,6639,false
121611,cpu,5,10,11341,true
121785,cpu,5,10,6832,true
121872,cpu,5,10,7469,true
121959,cpu,5,10,9450,true
122046,cpu,5,10,7130,true
122220,cpu,8,1,10121,false
122307,cpu,8,1,11979,false
122394,cpu,8,1,17004,false
122481,cpu,8,1,15261,false
122568,cpu,8,1,13417,false
122655,cpu,8,1,9575,false
122742,cpu,8,1,9440,false
122829,cpu,8,1,13160,false
123003,cpu,8,1,9465,true
123177,cpu,8,1,12695,true
123264,cpu,8,1,13679,true
123351,cpu,8,1,13939,true
123438,cpu,8,1,13868,true
123525,cpu,8,1,13512,true
123612,cpu,8,1,12985,true
123699,cpu,8,1,13559,true
123873,cpu,8,2,9666,false
123960,cpu,8,2,13473,false
124047,cpu,8,2,14552,false
124134,cpu,8,2,15082,false
124308,cpu,8,2,15138,false
124395,cpu,8,2,14887,false
124482,cpu,8,2,14397,false
124569,cpu,8,2,13746,false
124743,cpu,8,2,8475,true
124830,cpu,8,2,11725,true
124917,cpu,8,2,12463,true
125004,cpu,8,2,15477,true
125091,cpu,8,2,12717,true
125265,cpu,8,2,12475,true
125352,cpu,8,2,11947,true
125439,cpu,8,2,13443,true
125613,cpu,8,3,5935,false
125700,cpu,8,3,17522,false
125787,cpu,8,3,15389,false
125874,cpu,8,3,11449,false
125961,cpu,8,3,11881,false
126135,cpu,8,3,14562,false
126222,cpu,8,3,11681,false
126309,cpu,8,3,11330,false
126483,cpu,8,3,13832,true
126570,cpu,8,3,15900,true
126657,cpu,8,3,10545,true
126744,cpu,8,3,11276,true
126918,cpu,8,3,11527,true
127005,cpu,8,3,14908,true
127092,cpu,8,3,13581,true
127179,cpu,8,3,13569,true
127353,cpu,8,4,17527,false
127440,cpu,8,4,12113,false
127527,cpu,8,4,14082,false
127701,cpu,8,4,14744,false
127788,cpu,8,4,15051,false
127875,cpu,8,4,14921,false
127962,cpu,8,4,14353,false
128049,cpu,8,4,13810,false
128223,cpu,8,4,8607,true
128310,cpu,8,4,11800,true
128397,cpu,8,4,12803,true
128571,cpu,8,4,13014,true
128658,cpu,8,4,15652,true
128745,cpu,8,4,12622,true
128832,cpu,8,4,13807,true
128919,cpu,8,4,11654,true
129093,cpu,8,5,15199,false
129180,cpu,8,5,11192,false
129354,cpu,8,5,12533,false
129441,cpu,8,5,13012,false
129528,cpu,8,5,13093,false
129615,cpu,8,5,12703,false
129702,cpu,8,5,14155,false
129789,cpu,8,5,13508,false
129963,cpu,8,5,8390,true
130050,cpu,8,5,11815,true
130224,cpu,8,5,12617,true
130311,cpu,8,5,16077,true
130398,cpu,8,5,12934,true
130485,cpu,8,5,12690,true
130572,cpu,8,5,12302,true
130659,cpu,8,5,13558,true
130833,cpu,8,6,17549,false
130920,cpu,8,6,9690,false
131094,cpu,8,6,11526,false
131181,cpu,8,6,16474,false
131268,cpu,8,6,15684,false
131355,cpu,8,6,12556,false
131442,cpu,8,6,12467,false
131529,cpu,8,6,12063,false
131790,cpu,8,6,8540,true
131877,cpu,8,6,11514,true
131964,cpu,8,6,12357,true
132138,cpu,8,6,15440,true
132225,cpu,8,6,12599,true
132312,cpu,8,6,12387,true
132399,cpu,8,6,11968,true
132486,cpu,8,6,13408,true
132660,cpu,8,7,6918,false
132747,cpu,8,7,17624,false
132921,cpu,8,7,13002,false
133008,cpu,8,7,13437,false
133095,cpu,8,7,13898,false
133182,cpu,8,7,13704,false
133269,cpu,8,7,13329,false
133356,cpu,8,7,12785,false
133530,cpu,8,7,15170,true
133617,cpu,8,7,17752,true
133704,cpu,8,7,8323,true
133791,cpu,8,7,15097,true
133878,cpu,8,7,9515,true
133965,cpu,8,7,14617,true
134139,cpu,8,7,14346,true
134226,cpu,8,7,13792,true
134400,cpu,8,8,6797,false
134487,cpu,8,8,16435,false
134574,cpu,8,8,17002,false
134661,cpu,8,8,12480,false
134748,cpu,8,8,12672,false
134835,cpu,8,8,15034,false
135009,cpu,8,8,12590,false
135096,cpu,8,8,12247,false
135270,cpu,8,8,6860,true
135357,cpu,8,8,16448,true
135444,cpu,8,8,11134,true
135531,cpu,8,8,16313,true
135618,cpu,8,8,14266,true
135705,cpu,8,8,12146,true
135879,cpu,8,8,12019,true
135966,cpu,8,8,11661,true
136140,cpu,8,9,7850,false
136227,cpu,8,9,17692,false
136314,cpu,8,9,13347,false
136401,cpu,8,9,14167,false
136488,cpu,8,9,14326,false
136575,cpu,8,9,14198,false
136662,cpu,8,9,13812,false
136836,cpu,8,9,13347,false
137010,cpu,8,9,16290,true
137097,cpu,8,9,9606,true
137184,cpu,8,9,10811,true
137271,cpu,8,9,11123,true
137358,cpu,8,9,10999,true
137445,cpu,8,9,13303,true
137619,cpu,8,9,14042,true
137706,cpu,8,9,13682,true
137880,cpu,8,10,18417,false
137967,cpu,8,10,11249,false
138054,cpu,8,10,13443,false
138141,cpu,8,10,14090,false
138315,cpu,8,10,14414,false
138402,cpu,8,10,14280,false
138489,cpu,8,10,13937,false
138576,cpu,8,10,13334,false
138750,cpu,8,10,7283,true
138837,cpu,8,10,10023,true
139011,cpu,8,10,16926,true
139098,cpu,8,10,14954,true
139185,cpu,8,10,11230,true
139272,cpu,8,10,11213,true
139359,cpu,8,10,14401,true
139446,cpu,8,10,10405,true
139620,network,1,1,6387,false
139707,network,1,1,6406,true
139794,network,1,2,6393,false
139881,network,1,2,6382,true
139968,network,1,3,6378,false
140055,network,1,3,6384,true
140142,network,1,4,6403,false
140229,network,1,4,6384,true
140316,network,1,5,6365,false
140403,network,1,5,6367,true
140490,network,1,6,6418,false
140577,network,1,6,6396,true
140664,network,1,7,6411,false
